,user,tweet,stem,label,tokenizing
10,Mitra Seragam Souvenir,Sungguh moment paling mengharukan selain melepasnya menikah nanti,sungguh moment haru lepas meni,0,"['sungguh', 'moment', 'paling', 'mengharukan', 'selain', 'melepasnya', 'menikah', 'nanti']"
11,Nunung Nafis,Ko ngadangkak kitu nyah ker abdimah di cikande te kitu da kakina napak,ko ngadangkak kitu nyah ker abdimah cikande te kitu da kakina napak,0,"['ko', 'ngadangkak', 'kitu', 'nyah', 'ker', 'abdimah', 'di', 'cikande', 'te', 'kitu', 'da', 'kakina', 'napak']"
12,Juliana Juli,Saya ngh terasa kqlau nengo org lahiran saya sering menangis. Terharu. Air mata tiba netes sendiri,ngh kqlau nengo org lahir menang haru air mata netes,1,"['saya', 'ngh', 'terasa', 'kqlau', 'nengo', 'org', 'lahiran', 'saya', 'sering', 'menangis', 'terharu', 'air', 'mata', 'tiba', 'netes', 'sendiri']"
13,Diah Poetri Handayani,Alhamdulillah da merasakan lahiran normal 2 x dan ni mau ke 3 x nya d awal tahun nanti,alhamdulillah da rasa lahir normal ni d,1,"['alhamdulillah', 'da', 'merasakan', 'lahiran', 'normal', 'x', 'dan', 'ni', 'mau', 'ke', 'x', 'nya', 'd', 'awal', 'tahun', 'nanti']"
14,Uma Fabiana,Ko cepet banget ya. Semoga besok persalinan saya jg secepet itu aamiin,ko cepet banget ya moga besok salin secepet aamiin,0,"['ko', 'cepet', 'banget', 'ya', 'semoga', 'besok', 'persalinan', 'saya', 'jg', 'secepet', 'itu', 'aamiin']"
15,Yarda Kholil,"klo ada bidan dan dokter cewek klo normal knp pake dokter laki2, klo nggk ada sama sekli br pake dr.laki2",klo bidan dokter cewek klo normal knp pake dokter laki klo nggk sekli br pake dr laki,0,"['klo', 'ada', 'bidan', 'dan', 'dokter', 'cewek', 'klo', 'normal', 'knp', 'pake', 'dokter', 'laki', 'klo', 'nggk', 'ada', 'sama', 'sekli', 'br', 'pake', 'dr', 'laki']"
16,Euis Tika Sopiyani,"Alhamdulillah k 3 anakku lahirnya normal semua,perasaannya juga campur aduk antara senang, bersyukur, kaget dngan berat k 3 anak""ku besar""dan proses lahiran normal..",alhamdulillah k anak lahir normal asa campur aduk senang syukur kaget dngan berat k anak ku proses lahir normal,1,"['alhamdulillah', 'k', 'anakku', 'lahirnya', 'normal', 'semua', 'perasaannya', 'juga', 'campur', 'aduk', 'antara', 'senang', 'bersyukur', 'kaget', 'dngan', 'berat', 'k', 'anak', 'ku', 'besar', 'dan', 'proses', 'lahiran', 'normal']"
17,Noraini Binti Abu Samah,SAYA DAH ALAMI,dah alami,0,"['saya', 'dah', 'alami']"
18,Rene Elfarizy,"Hilang rasa malu Krn engkau si buah hati,",hilang malu krn engkau si buah hati,0,"['hilang', 'rasa', 'malu', 'krn', 'engkau', 'si', 'buah', 'hati']"
19,Ita Sr.,Masyaallah saya hpl bulan Juni semoga bisa lahir normal dan di lancarkan di permudahkan,masyaallah hpl juni moga lahir normal lancar mudah,1,"['masyaallah', 'saya', 'hpl', 'bulan', 'juni', 'semoga', 'bisa', 'lahir', 'normal', 'dan', 'di', 'lancarkan', 'di', 'permudahkan']"
20,Julmasni Mom's Lyiora Halawa,Saya jdi bertanya tanya apakah saya bisa melahirkan normal nanti y,jdi lahir normal y,0,"['saya', 'jdi', 'bertanya', 'tanya', 'apakah', 'saya', 'bisa', 'melahirkan', 'normal', 'nanti', 'y']"
21,Anie,ya allah smga tahun ini sy sma suami deberi momongan,ya allah smga sy sma suami deberi momong,0,"['ya', 'allah', 'smga', 'tahun', 'ini', 'sy', 'sma', 'suami', 'deberi', 'momongan']"
22,Enur Ica,"Sy jg mlhirkn 2 kli normal, trus mlh yg trakhir hrus diSC,ank bwa wtak bda2 bwaan hmil nya,semngt trus ibu2 yg lgi hmil prjuangan mu adalh ibdah!!",sy mlhirkn kli normal trus mlh trakhir hrus disc ank bwa wtak bda bwaan hmil semngt trus lgi hmil prjuangan mu adalh ibdah,0,"['sy', 'jg', 'mlhirkn', 'kli', 'normal', 'trus', 'mlh', 'yg', 'trakhir', 'hrus', 'disc', 'ank', 'bwa', 'wtak', 'bda', 'bwaan', 'hmil', 'nya', 'semngt', 'trus', 'ibu', 'yg', 'lgi', 'hmil', 'prjuangan', 'mu', 'adalh', 'ibdah']"
23,Lilis Nurindachsary,alhmdlilah y allah.smoga  d beri klncaran dan kmudahan juga kamu sehat tak.kurang satu apapun amin ya allah,alhmdlilah y allah smoga d klncaran kmudahan sehat apa amin ya allah,1,"['alhmdlilah', 'y', 'allah', 'smoga', 'd', 'beri', 'klncaran', 'dan', 'kmudahan', 'juga', 'kamu', 'sehat', 'tak', 'kurang', 'satu', 'apapun', 'amin', 'ya', 'allah']"
24,Tri Juarsih,"Saya mengalami tiga kali melahirkan secara normal, Alhamdulillah",alami kali lahir normal alhamdulillah,1,"['saya', 'mengalami', 'tiga', 'kali', 'melahirkan', 'secara', 'normal', 'alhamdulillah']"
25,Vany Vany,Muda mudahan bisa lahiran normal jg amin,muda mudah lahir normal amin,1,"['muda', 'mudahan', 'bisa', 'lahiran', 'normal', 'jg', 'amin']"
26,Hantu Samawa Lape,Bantu doa bun Saya lagi Nunggu petanda hpl nya Akhir Bulan ini...  Mana lagi suami Kurang Peduli,bantu doa bun nunggu tanda hpl suami peduli,1,"['bantu', 'doa', 'bun', 'saya', 'lagi', 'nunggu', 'petanda', 'hpl', 'nya', 'akhir', 'bulan', 'ini', 'mana', 'lagi', 'suami', 'kurang', 'peduli']"
27,Tievany Joseph,Ikut tahan napas sambil ngejan,tahan napas ngejan,0,"['ikut', 'tahan', 'napas', 'sambil', 'ngejan']"
28,Romlahh Yotama,"Lahh bisaan dengan tenang lahirannya, lahh sya rasain sakit sampe teriak gtw knpa sya segitunya pdahal pas udh lahiran mh biasa aja gk sakit",lahh bisa tenang lahir lahh sya rasain sakit sampe teriak gtw knpa sya segitunya pdahal pas udh lahir mh aja gk sakit,-1,"['lahh', 'bisaan', 'dengan', 'tenang', 'lahirannya', 'lahh', 'sya', 'rasain', 'sakit', 'sampe', 'teriak', 'gtw', 'knpa', 'sya', 'segitunya', 'pdahal', 'pas', 'udh', 'lahiran', 'mh', 'biasa', 'aja', 'gk', 'sakit']"
29,Luchi Sri Wahyuni,"Alhamdulilah perjuaangan se,orang ibu sunggu luar biasa tuhan.",alhamdulilah perjuaangan orang sunggu tuhan,0,"['alhamdulilah', 'perjuaangan', 'se', 'orang', 'ibu', 'sunggu', 'luar', 'biasa', 'tuhan']"
30,Safaras Afar,"Bismillah bulan 8,,semoga seht lncar semuanya...aamiin",bismillah moga seht lncar aamiin,0,"['bismillah', 'bulan', 'semoga', 'seht', 'lncar', 'semuanya', 'aamiin']"
31,Hilda Reni,Sy hamil anak ke 7..hpl akhir Mei...kenapa deg- deg kan ya...gak kayak anak sebelumnya cuek..lahiran normal semua..klu udh kontraksi langsung ke bidan .beberapa jam kemudian lahiran...klu yg sekarang ada rasa was2 nya.,sy hamil anak hpl mei deg deg ya kayak anak cuek lahir normal klu udh kontraksi langsung bidan jam lahir klu was,0,"['sy', 'hamil', 'anak', 'ke', 'hpl', 'akhir', 'mei', 'kenapa', 'deg', 'deg', 'kan', 'ya', 'gak', 'kayak', 'anak', 'sebelumnya', 'cuek', 'lahiran', 'normal', 'semua', 'klu', 'udh', 'kontraksi', 'langsung', 'ke', 'bidan', 'beberapa', 'jam', 'kemudian', 'lahiran', 'klu', 'yg', 'sekarang', 'ada', 'rasa', 'was', 'nya']"
32,Panggah Nuku,Doktere lanang ajur,doktere lanang ajur,0,"['doktere', 'lanang', 'ajur']"
33,Vjest Gaming,"2 bln menuju kelahiraann anak pertama,,  setelah 5 thn penantiannn mohon doa nya ya",bln kelahiraann anak thn penantiannn mohon doa ya,0,"['bln', 'menuju', 'kelahiraann', 'anak', 'pertama', 'setelah', 'thn', 'penantiannn', 'mohon', 'doa', 'nya', 'ya']"
34,Norkummala Normala,Senangnya....,senang,1,['senangnya']
35,Mawar Merah,Ank baru satu udh umur 22 thn..pengeeeeenn skli punya ank lagi ..dn sekarang umur sy msuk 42 thn apkh bisa lgi...,ank udh umur thn pengeeeeenn skli ank dn umur sy msuk thn apkh lgi,0,"['ank', 'baru', 'satu', 'udh', 'umur', 'thn', 'pengeeeeenn', 'skli', 'punya', 'ank', 'lagi', 'dn', 'sekarang', 'umur', 'sy', 'msuk', 'thn', 'apkh', 'bisa', 'lgi']"
36,Adelia Indah,Kalo liat orang lairan gini aku kok malu ya. Tapi pas aku lairan ga ada malunya,kalo liat orang lairan gin malu ya pas lairan ga malu,-1,"['kalo', 'liat', 'orang', 'lairan', 'gini', 'aku', 'kok', 'malu', 'ya', 'tapi', 'pas', 'aku', 'lairan', 'ga', 'ada', 'malunya']"
37,Susanhaadi,Gk laki2 jg dong bidan ny,gk laki bidan ny,0,"['gk', 'laki', 'jg', 'dong', 'bidan', 'ny']"
38,Triyana,"YaAlloh ikut klr air mata saking terharunya,,",yaalloh klr air mata saking haru,0,"['yaalloh', 'ikut', 'klr', 'air', 'mata', 'saking', 'terharunya']"
39,Bunga Bunga,"Klo ngeliat yg lahiran bgini ,, air mata tiba² ngalir , gak tau knpa ..",klo ngeliat lahir bgini air mata ngalir tau knpa,0,"['klo', 'ngeliat', 'yg', 'lahiran', 'bgini', 'air', 'mata', 'tiba', 'ngalir', 'gak', 'tau', 'knpa']"
40,Mba Yani,Doa.in y Bun SMG saya dan suamiku scepatnya d kasih momongan....aminn,doa in y bun smg suami scepatnya d kasih momong aminn,0,"['doa', 'in', 'y', 'bun', 'smg', 'saya', 'dan', 'suamiku', 'scepatnya', 'd', 'kasih', 'momongan', 'aminn']"
41,Yunita Sambriong,Syukur ibu hebat,syukur hebat,1,"['syukur', 'ibu', 'hebat']"
42,NE Gesan,Ya allah semoga persalinan aku nanti berjalan dgn lancar,ya allah moga salin jalan dgn lancar,0,"['ya', 'allah', 'semoga', 'persalinan', 'aku', 'nanti', 'berjalan', 'dgn', 'lancar']"
43,Ketut Sitiariani,"Saya dah 3x ngerasain lahiran normal,semoga nantk di 4x nya juga normal",dah ngerasain lahir normal moga nantk normal,0,"['saya', 'dah', 'x', 'ngerasain', 'lahiran', 'normal', 'semoga', 'nantk', 'di', 'x', 'nya', 'juga', 'normal']"
44,Srisulihatun Sulihatun,Alhamdulillah.,alhamdulillah,1,['alhamdulillah']
45,Awanz'e Nichen,Alhamdulilah lahiran saya jg sllu normal.lahiran yg ke 2 anak saya kembar alhamdulilah normal lancar...,alhamdulilah lahir sllu normal lahir anak kembar alhamdulilah normal lancar,0,"['alhamdulilah', 'lahiran', 'saya', 'jg', 'sllu', 'normal', 'lahiran', 'yg', 'ke', 'anak', 'saya', 'kembar', 'alhamdulilah', 'normal', 'lancar']"
46,Elviani Ikhsan,"Saya masih takut tuk lahiran lagi,krn yg pertama uda ngerasain operasi.",takut tuk lahir krn uda ngerasain operasi,-1,"['saya', 'masih', 'takut', 'tuk', 'lahiran', 'lagi', 'krn', 'yg', 'pertama', 'uda', 'ngerasain', 'operasi']"
47,Dinda Erlina,Aku lagi hamil 8 bulan semoga lancar bayi normal dan aku sama dd selamat aminn,hamil moga lancar bayi normal dd selamat aminn,1,"['aku', 'lagi', 'hamil', 'bulan', 'semoga', 'lancar', 'bayi', 'normal', 'dan', 'aku', 'sama', 'dd', 'selamat', 'aminn']"
48,Lusia Ha We,Amin,amin,0,['amin']
49,Salam Kenal,"Semoga saya di beri kemudahan untuk lahiran normal,, aamin",moga mudah lahir normal aamin,1,"['semoga', 'saya', 'di', 'beri', 'kemudahan', 'untuk', 'lahiran', 'normal', 'aamin']"
50,Nur Fatehah Nur Fatehah,Perhh sekali ja teran .saya  kalau teran 2.3 kali xlps gi haha .tapi dh sepasang anak . Alhamdulillah ..dh biasa merasa,perhh ja teran teran kali xlps gi haha dh pasang anak alhamdulillah dh,1,"['perhh', 'sekali', 'ja', 'teran', 'saya', 'kalau', 'teran', 'kali', 'xlps', 'gi', 'haha', 'tapi', 'dh', 'sepasang', 'anak', 'alhamdulillah', 'dh', 'biasa', 'merasa']"
51,Julmasni Mom's Lyiora Halawa,Krn saya mau lahiran akhir tahun,krn lahir,0,"['krn', 'saya', 'mau', 'lahiran', 'akhir', 'tahun']"
52,Adina Miranda,Jugaaaaa,jugaaaaa,0,['jugaaaaa']
53,Desi Ratnasari,jujur ini dri hati sya mending lahiran cs dr pda normal kya nya skit ga tau lah bingung.,jujur dri hati sya mending lahir cs dr pda normal kya skit ga tau bingung,1,"['jujur', 'ini', 'dri', 'hati', 'sya', 'mending', 'lahiran', 'cs', 'dr', 'pda', 'normal', 'kya', 'nya', 'skit', 'ga', 'tau', 'lah', 'bingung']"
54,Een Nuraenie Skincare,Dokternya laki2 yah,dokter laki yah,0,"['dokternya', 'laki', 'yah']"
55,Matahari Nan Indah,Dok saya pasien praktek dokter......bolehkan SC dirujuk daro doktern,dok pasien praktek dokter boleh sc rujuk daro doktern,1,"['dok', 'saya', 'pasien', 'praktek', 'dokter', 'bolehkan', 'sc', 'dirujuk', 'daro', 'doktern']"
56,Hairul Yana,Klo dokterx cowok gimana ya.liat rambut aja dosa apalagi?hadeh,klo dokterx cowok gimana ya liat rambut aja dosa hadeh,-1,"['klo', 'dokterx', 'cowok', 'gimana', 'ya', 'liat', 'rambut', 'aja', 'dosa', 'apalagi', 'hadeh']"
57,Made Okta Ariani,"Minus 7,5 gak dibolehin lahiran normal sama dokter",minus dibolehin lahir normal dokter,0,"['minus', 'gak', 'dibolehin', 'lahiran', 'normal', 'sama', 'dokter']"
58,Gendhis Rengganis,Baru punya anak 1,anak,0,"['baru', 'punya', 'anak']"
59,Nofia Meza,Apa nggak ada dokter perempuan ya? Atau ke bidan aja biasanya di bidan itu perempuan. Bagaimana pun itu aurat,nggak dokter perempuan ya bidan aja bidan perempuan aurat,0,"['apa', 'nggak', 'ada', 'dokter', 'perempuan', 'ya', 'atau', 'ke', 'bidan', 'aja', 'biasanya', 'di', 'bidan', 'itu', 'perempuan', 'bagaimana', 'pun', 'itu', 'aurat']"
60,Yuliane Line,"Semangat y Nang,biar cpt sehat lg",semangat y nang biar cpt sehat lg,1,"['semangat', 'y', 'nang', 'biar', 'cpt', 'sehat', 'lg']"
61,Juju Yulius,Semangat oo...cepat sembuh oo uta,semangat oo cepat sembuh oo uta,1,"['semangat', 'oo', 'cepat', 'sembuh', 'oo', 'uta']"
62,Pins Yunita,"Semangat,sabar and kuat....TUHAN MEMBERKATI,SEMBUHKANLAH KEPONAKKANKU UTA,AMIN.",semangat sabar and kuat tuhan kati sembuh keponakkanku uta amin,1,"['semangat', 'sabar', 'and', 'kuat', 'tuhan', 'memberkati', 'sembuhkanlah', 'keponakkanku', 'uta', 'amin']"
63,Ima Siti Shayma Santika,Semangat oo uta..... Sehat ya......,semangat oo uta sehat ya,1,"['semangat', 'oo', 'uta', 'sehat', 'ya']"
64,Eliez Rohaeti,Sakit naon ibu uta th,sakit naon uta th,-1,"['sakit', 'naon', 'ibu', 'uta', 'th']"
65,Enni Hawijay,aamiiiin,aamiiiin,0,['aamiiiin']
66,Putri Ani,"Sy dua kali sc mba kl diruang operasi diajak ngobrol sm dokter dan tim medis jd g tegang tp rasanya kyk ngantuk utk sc pertama pemulihannya agak lama belajar miring setengah mati rasanya g karuan, akhirnya sc kedua konsul dokter minta metode eracs biar…",sy kali sc mba kl ruang operasi ajak ngobrol sm dokter tim medis jd tegang kyk ngantuk utk sc pulih ajar miring mati karuan sc konsul dokter metode eracs biar,-1,"['sy', 'dua', 'kali', 'sc', 'mba', 'kl', 'diruang', 'operasi', 'diajak', 'ngobrol', 'sm', 'dokter', 'dan', 'tim', 'medis', 'jd', 'g', 'tegang', 'tp', 'rasanya', 'kyk', 'ngantuk', 'utk', 'sc', 'pertama', 'pemulihannya', 'agak', 'lama', 'belajar', 'miring', 'setengah', 'mati', 'rasanya', 'g', 'karuan', 'akhirnya', 'sc', 'kedua', 'konsul', 'dokter', 'minta', 'metode', 'eracs', 'biar']"
67,Ummu Vanya,"Gak sc doang c,operasi besar jg dulu q gitu,bius setengah badan.Yg gak nahan menggigilnya,dinginnya kyk dikutub,sampe gigi gretek²,sama pasca operasi biusnya naik ke kepala alhasil sakit bgt kepala,bau bius pula.Tp ruangan operasi gak semenakutkan yg o…",sc doang c operasi q gitu bius badan nahan gigil dingin kyk kutub sampe gigi gretek pasca operasi bius kepala alhasil sakit kepala bau bius ruang operasi takut o,-1,"['gak', 'sc', 'doang', 'c', 'operasi', 'besar', 'jg', 'dulu', 'q', 'gitu', 'bius', 'setengah', 'badan', 'yg', 'gak', 'nahan', 'menggigilnya', 'dinginnya', 'kyk', 'dikutub', 'sampe', 'gigi', 'gretek', 'sama', 'pasca', 'operasi', 'biusnya', 'naik', 'ke', 'kepala', 'alhasil', 'sakit', 'bgt', 'kepala', 'bau', 'bius', 'pula', 'tp', 'ruangan', 'operasi', 'gak', 'semenakutkan', 'yg', 'o']"
68,Ningsi Masri,6x aq merasakan dinginnya ruangan itu sprti di fresher....,aq rasa dingin ruang sprti fresher,-1,"['x', 'aq', 'merasakan', 'dinginnya', 'ruangan', 'itu', 'sprti', 'di', 'fresher']"
69,Myla Ummah SyifaYusuf Fisqy,Sy 3x ngerasain sc . Mdhn sdh yg terakhir hehehe,sy ngerasain sc mdhn sdh hehehe,0,"['sy', 'x', 'ngerasain', 'sc', 'mdhn', 'sdh', 'yg', 'terakhir', 'hehehe']"
70,Huzaipah Lutfhiana,"Baru aja operasi sc tgl 26 maret kemarin.. Anak kedua, sc pertama..",aja operasi sc tgl maret kemarin anak sc,0,"['baru', 'aja', 'operasi', 'sc', 'tgl', 'maret', 'kemarin', 'anak', 'kedua', 'sc', 'pertama']"
71,Evi Puspa Indah,Kalo aku menggigilnya pas setelah oprasi.. pas diruang observasi dibungkus sama slimut listrik. Pdhal dah panas bgt tpq di dlm nya tetap menggigil,kalo gigil pas oprasi pas ruang observasi bungkus slimut listrik pdhal dah panas tpq dlm gigil,-1,"['kalo', 'aku', 'menggigilnya', 'pas', 'setelah', 'oprasi', 'pas', 'diruang', 'observasi', 'dibungkus', 'sama', 'slimut', 'listrik', 'pdhal', 'dah', 'panas', 'bgt', 'tpq', 'di', 'dlm', 'nya', 'tetap', 'menggigil']"
72,Moms Razan,Hadir pernah sc dua x dengan jarak satu taun,hadir sc jarak taun,0,"['hadir', 'pernah', 'sc', 'dua', 'x', 'dengan', 'jarak', 'satu', 'taun']"
73,Evi Puspa Indah,Q 2x sesar.,q sesar,0,"['q', 'x', 'sesar']"
74,Destri Rahmawati,Sc 1x tahun 2016 tgl 3 des,sc tgl des,0,"['sc', 'x', 'tahun', 'tgl', 'des']"
75,Rosida Dwi Agus Astiyah,Semoga lekas sembuh .. Sakit apa mb..,moga lekas sembuh sakit mb,-1,"['semoga', 'lekas', 'sembuh', 'sakit', 'apa', 'mb']"
76,Gadiezt Berlian,"Kak naura sakit apa,lekas sembuh ya",kak naura sakit lekas sembuh ya,-1,"['kak', 'naura', 'sakit', 'apa', 'lekas', 'sembuh', 'ya']"
77,Yetty Yetty,semoga lekas sembuh dan sukses operasinya mbak,moga lekas sembuh sukses operasi mbak,1,"['semoga', 'lekas', 'sembuh', 'dan', 'sukses', 'operasinya', 'mbak']"
78,Isna Kamalia Al Hamzany,Jd inget 2017 dlu husain jg ngalami ini tapi operasinga bersihkan luka bekas kena air panas tpi di ruang operasi jg puasa duh kasian g tega tpi y gmn lg demi,jd inget dlu husain ngalami operasinga sih luka bekas kena air panas tpi ruang operasi puasa duh kasi tega tpi y gmn lg,-1,"['jd', 'inget', 'dlu', 'husain', 'jg', 'ngalami', 'ini', 'tapi', 'operasinga', 'bersihkan', 'luka', 'bekas', 'kena', 'air', 'panas', 'tpi', 'di', 'ruang', 'operasi', 'jg', 'puasa', 'duh', 'kasian', 'g', 'tega', 'tpi', 'y', 'gmn', 'lg', 'demi']"
79,Dwi Astuti,Semoga lekas sembuh ya Naura...,moga lekas sembuh ya naura,0,"['semoga', 'lekas', 'sembuh', 'ya', 'naura']"
80,Ika Prihartini,,nan,0,['nan']
81,Kiki Putry Agustin,moga putrinya lekas smbuh dn pulih ya mb..aamiin,moga putri lekas smbuh dn pulih ya mb aamiin,1,"['moga', 'putrinya', 'lekas', 'smbuh', 'dn', 'pulih', 'ya', 'mb', 'aamiin']"
82,Ira Ika Puspitasari,Cepet sembuh yaa naura,cepet sembuh yaa naura,0,"['cepet', 'sembuh', 'yaa', 'naura']"
83,Endang Puji Astutik,Smg cepat sembuh,smg cepat sembuh,1,"['smg', 'cepat', 'sembuh']"
84,Imro'atus Sholikhah,Naura sakit pa ma..smg segera di beri kesembuhan buat naura..,naura sakit pa ma smg sembuh naura,-1,"['naura', 'sakit', 'pa', 'ma', 'smg', 'segera', 'di', 'beri', 'kesembuhan', 'buat', 'naura']"
85,Wina Luwina,"Semoga operasi amandelnya sukses dan sembuh kembali ya anak cantik Naura, kemaren Angelina juga dr Dokter..amandelnya gede banget, malah gak boleh dokter ostrali di operasi, katanya selagi gak sakit gpp, besok klau angelina sdh besar alias dewasa mengecil sendiri",moga operasi amandel sukses sembuh ya anak cantik naura kemaren angelina dr dokter amandel gede banget dokter ostrali operasi selagi sakit gpp besok klau angelina sdh alias dewasa kecil,1,"['semoga', 'operasi', 'amandelnya', 'sukses', 'dan', 'sembuh', 'kembali', 'ya', 'anak', 'cantik', 'naura', 'kemaren', 'angelina', 'juga', 'dr', 'dokter', 'amandelnya', 'gede', 'banget', 'malah', 'gak', 'boleh', 'dokter', 'ostrali', 'di', 'operasi', 'katanya', 'selagi', 'gak', 'sakit', 'gpp', 'besok', 'klau', 'angelina', 'sdh', 'besar', 'alias', 'dewasa', 'mengecil', 'sendiri']"
86,Dian Arfah Fibrianti Ririn,"Anakku yg kedua cowok kelas 5 operasi amandel, udah parah sekali, tidur ngorok, akhirnya di angkat,,,,sekarang anaknya sdh mau SMA tahun ini,,,,semoga lekas sembuh ya utk anaknya",anak cowok kelas operasi amandel udah parah tidur ngorok angkat anak sdh sma moga lekas sembuh ya utk anak,0,"['anakku', 'yg', 'kedua', 'cowok', 'kelas', 'operasi', 'amandel', 'udah', 'parah', 'sekali', 'tidur', 'ngorok', 'akhirnya', 'di', 'angkat', 'sekarang', 'anaknya', 'sdh', 'mau', 'sma', 'tahun', 'ini', 'semoga', 'lekas', 'sembuh', 'ya', 'utk', 'anaknya']"
87,Sri Harnanik,Semoga lekas sembuh dan di lancarkan operasinya ya,moga lekas sembuh lancar operasi ya,0,"['semoga', 'lekas', 'sembuh', 'dan', 'di', 'lancarkan', 'operasinya', 'ya']"
88,Erlina Siswanto,Semoga lekas sembuh aamiin ya rabbal alamin,moga lekas sembuh aamiin ya rabbal alamin,0,"['semoga', 'lekas', 'sembuh', 'aamiin', 'ya', 'rabbal', 'alamin']"
89,Yossy Bastian,Cepet sehat LG mbak naura ..  Kiss dr Ghina &Luna,cepet sehat lg mbak naura kiss dr ghina luna,1,"['cepet', 'sehat', 'lg', 'mbak', 'naura', 'kiss', 'dr', 'ghina', 'luna']"
90,Elli Kusmawati,Smg cepet sehat,smg cepet sehat,1,"['smg', 'cepet', 'sehat']"
91,Etty Hamdiana,Bismillah cepet sembuh nauraaaaa ...,bismillah cepet sembuh nauraaaaa,0,"['bismillah', 'cepet', 'sembuh', 'nauraaaaa']"
92,Luthfil Qodriyah,"Semoga operasi by berjalan dg lancar yah kak,dan bisa segera pulih kembali sehat putrinya",moga operasi by jalan dg lancar yah kak pulih sehat putri,1,"['semoga', 'operasi', 'by', 'berjalan', 'dg', 'lancar', 'yah', 'kak', 'dan', 'bisa', 'segera', 'pulih', 'kembali', 'sehat', 'putrinya']"
93,Yessy Mpp,"Lekas sehat ya Naura ,, syafakillah",lekas sehat ya naura syafakillah,1,"['lekas', 'sehat', 'ya', 'naura', 'syafakillah']"
