,Unnamed: 0,user,tweet,stem,label,tokenizing
21,21,putreyrb,"bukan buat bangunin, tapi buat membuka jalur pernapasan",bangunin buka jalur napas,0,"['bukan', 'buat', 'bangunin', 'tapi', 'buat', 'membuka', 'jalur', 'pernapasan']"
22,22,syndycates,vincent tuh sensitive sama sambutnyaðŸ˜…,vincent tuh sensitive sambut,0,"['vincent', 'tuh', 'sensitive', 'sama', 'sambutnya']"
23,23,kyadityaa_,siapa yg di sambut bang,sambut bang,0,"['siapa', 'yg', 'di', 'sambut', 'bang']"
24,24,jalijali300,terimakasih atas sambutannya,terimakasih sambut,0,"['terimakasih', 'atas', 'sambutannya']"
25,25,kepolo008,CUKUP ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,,0,['cukup']
26,26,ajudan_frangkyrey,cukupp woylah[tears][tears],cukupp woylah tears tears,0,"['cukupp', 'woylah', 'tears', 'tears']"
27,27,aisvcxz,ahahaha plisðŸ˜­,ahahaha plis,0,"['ahahaha', 'plis']"
28,28,febriancw_,ðŸ˜‚,,0,[]
29,29,fathonah093,dasar nurudinÂ²,dasar nurudin,0,"['dasar', 'nurudin']"
30,30,httpssyfrl.com,ðŸ˜­,,0,[]
31,31,naira.syafira,ðŸ˜­,,0,[]
32,32,prettypirelly,HAHAHAHAHAHA GW CAPE BANGET,hahahahahaha cape banget,0,"['hahahahahaha', 'gw', 'cape', 'banget']"
33,33,_rrrxxtuu_,cukup anj gw cpek ngakak muluðŸ˜Œ,anj cpek ngakak mulu,0,"['cukup', 'anj', 'gw', 'cpek', 'ngakak', 'mulu']"
34,34,mang_adam02,Jumbut kali jumbutðŸ—¿,jumbut kali jumbut,0,"['jumbut', 'kali', 'jumbut']"
35,35,verstzgod,"bro R sama S itu lumayan jauh, gimana ceritanya lo bisa typi dah",bro r s lumayan gimana cerita lo typi dah,1,"['bro', 'r', 'sama', 's', 'itu', 'lumayan', 'jauh', 'gimana', 'ceritanya', 'lo', 'bisa', 'typi', 'dah']"
36,36,verstzgod,*typo,typo,0,['typo']
37,37,mahdi_2807,nyetel tipi?,nyetel tipi,0,"['nyetel', 'tipi']"
38,38,verstzgod,typo masss,typo masss,0,"['typo', 'masss']"
39,39,mahdi_2807,wkwk malah sendiri nya yg typo,wkwk typo,0,"['wkwk', 'malah', 'sendiri', 'nya', 'yg', 'typo']"
40,40,celiclitial,Knp?,knp,0,['knp']
41,41,hambaallahinices,untung typonya bukan J,untung typonya j,1,"['untung', 'typonya', 'bukan', 'j']"
42,42,res1870,knp,knp,0,['knp']
43,43,syndycates,"tanam rambut atau gmn gitu, kurang paham saya",tanam rambut gmn gitu paham,0,"['tanam', 'rambut', 'atau', 'gmn', 'gitu', 'kurang', 'paham', 'saya']"
44,44,res1870,oow,oow,0,['oow']
45,45,syndycates,"rambut maksudnya, baru ngeh kalo typoðŸ˜…",rambut maksud ngeh kalo typo,0,"['rambut', 'maksudnya', 'baru', 'ngeh', 'kalo', 'typo']"
46,46,.stupidcarrottt,makasii yaa udah disambut,makasii yaa udah sambut,0,"['makasii', 'yaa', 'udah', 'disambut']"
47,47,ttabct_,@dreysie_ @itsjnzz ðŸ˜­ðŸ˜­ðŸ˜­,,0,[]
48,48,nazaemina0813,maksudnya sensitive?,maksud sensitive,0,"['maksudnya', 'sensitive']"
49,49,dfkxzyeaa,rambut nya,rambut,0,"['rambut', 'nya']"
50,50,idackerman,2,,0,[]
51,51,marckojow,Kayaknya rambut nya takut abis vincent tuh modelan menuju botak mungkin rambut nya kali ya,kayak rambut takut abis vincent tuh model botak rambut kali ya,-1,"['kayaknya', 'rambut', 'nya', 'takut', 'abis', 'vincent', 'tuh', 'modelan', 'menuju', 'botak', 'mungkin', 'rambut', 'nya', 'kali', 'ya']"
52,52,starrypeachy,@ntaata18 ngabrutt,ngabrutt,0,['ngabrutt']
53,53,matakirikonoha_,maksdnya?,maksdnya,0,['maksdnya']
54,54,joroedtz,lah,,0,['lah']
55,55,4447tod,nonton mkanya,nonton mkanya,0,"['nonton', 'mkanya']"
56,56,joroedtz,ha,ha,0,['ha']
57,57,joroedtz,maksudnya,maksud,0,['maksudnya']
58,58,joroedtz,nonton apa?,nonton,0,"['nonton', 'apa']"
59,59,keyaru1234d,ha,ha,0,['ha']
60,60,ok102839,orang nanya malah disuruh nonton,orang nanya suruh nonton,0,"['orang', 'nanya', 'malah', 'disuruh', 'nonton']"
61,61,4447tod,ya makanya buat apa ada vidio nya,ya vidio,0,"['ya', 'makanya', 'buat', 'apa', 'ada', 'vidio', 'nya']"
62,62,ok102839,"yakan org nanya maksudnya/maksud vidio nya masa maksud vidio nya ""nonton vidio nya"" kan maksud vidio nya ""desta narik rambutnya vincent""",yakan org nanya maksud maksud vidio maksud vidio nonton vidio maksud vidio desta narik rambut vincent,0,"['yakan', 'org', 'nanya', 'maksudnya', 'maksud', 'vidio', 'nya', 'masa', 'maksud', 'vidio', 'nya', 'nonton', 'vidio', 'nya', 'kan', 'maksud', 'vidio', 'nya', 'desta', 'narik', 'rambutnya', 'vincent']"
63,63,4447tod,nah itu tau,tau,0,"['nah', 'itu', 'tau']"
64,64,orngprikkk,lu ha ha mulu anj,lu ha ha mulu anj,0,"['lu', 'ha', 'ha', 'mulu', 'anj']"
65,65,joroedtz,hehe :D,hehe d,0,"['hehe', 'd']"
66,66,vacyxr,coba saja saya ga mutusin nagita,coba ga mutusin nagita,0,"['coba', 'saja', 'saya', 'ga', 'mutusin', 'nagita']"
67,67,usertanpanamasamasekali,ha,ha,0,['ha']
68,68,ahdannn11,gw pahamðŸ—¿,paham,0,"['gw', 'paham']"
69,69,lionidasginting11,ha,ha,0,['ha']
70,70,wildn_gynxx,ha?,ha,0,['ha']
71,71,caxzettt,ha?,ha,0,['ha']
72,72,palabapakkau605,itu tangan desta tarik rambutnya,tangan desta tarik rambut,0,"['itu', 'tangan', 'desta', 'tarik', 'rambutnya']"
73,73,guanew,ha?,ha,0,['ha']
74,74,nawafala8,p,p,0,['p']
75,75,alden0.01,?,,0,[]
76,76,bgst1527,si pintar ðŸ˜±ðŸ˜±,si pintar,1,"['si', 'pintar']"
77,77,barawahyu01,ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±,,0,[]
78,78,bgst1527,keep being a kid ðŸ¤“,keep being a kid,0,"['keep', 'being', 'a', 'kid']"
79,79,nama_kok_zulfae_fendi,00n,n,0,['n']
80,80,jodohnyatm,ha?,ha,0,['ha']
81,81,fvkinbitjhh,paan dah,paan dah,0,"['paan', 'dah']"
82,82,evosojoo,awokawok lu ngpaðŸ¤£ðŸ˜‚,awokawok lu ngpa,0,"['awokawok', 'lu', 'ngpa']"
83,83,juraganapril,@,,0,[]
84,84,ksyiqbal,itu rmbut nya di tarik,rmbut tarik,0,"['itu', 'rmbut', 'nya', 'di', 'tarik']"
85,85,hamkaaasu,ðŸ˜ðŸ˜ðŸ˜,,0,[]
86,86,pubgmkonten,rambutnya ditarik desta,rambut tarik desta,0,"['rambutnya', 'ditarik', 'desta']"
87,87,emptyhandcmcs0,@tobat,,0,[]
88,88,lizzyboys,vincent dijambak desta. tapi vincent kira yg jambak dokternya,vincent jambak desta vincent jambak dokter,0,"['vincent', 'dijambak', 'desta', 'tapi', 'vincent', 'kira', 'yg', 'jambak', 'dokternya']"
89,89,akbarzld_,itu vincent gimik aja bg bukan beneran nyalahin dokternya,vincent gimik aja bg beneran nyalahin dokter,0,"['itu', 'vincent', 'gimik', 'aja', 'bg', 'bukan', 'beneran', 'nyalahin', 'dokternya']"
90,90,lizzyboys,iya tau anjir. kan gw cuma jelasin yg gapaham,iya tau anjir jelasin gapaham,0,"['iya', 'tau', 'anjir', 'kan', 'gw', 'cuma', 'jelasin', 'yg', 'gapaham']"
91,91,dgdudvdn,kan emng konsepnya ngelawak hadehh,emng konsep ngelawak hadehh,0,"['kan', 'emng', 'konsepnya', 'ngelawak', 'hadehh']"
92,92,akbarzld_,yg bilang konsepnya horor siapa bang hadeehhh,bilang konsep horor bang hadeehhh,0,"['yg', 'bilang', 'konsepnya', 'horor', 'siapa', 'bang', 'hadeehhh']"
93,93,farelalz,Lawak,lawak,0,['lawak']
94,94,farelfabian148,?,,0,[]
95,95,barawahyu01,lu gk ngertiðŸ˜‚,lu gk ngerti,0,"['lu', 'gk', 'ngerti']"
96,96,dinopratomo98,coba jelasin dong tua,coba jelasin tua,0,"['coba', 'jelasin', 'dong', 'tua']"
97,97,i.one532,kakek tolong jelaskan ðŸ™,kakek tolong,0,"['kakek', 'tolong', 'jelaskan']"
98,98,mamanghitler,yatim,yatim,0,['yatim']
99,99,barawahyu01,wgwg,wgwg,0,['wgwg']
100,100,fjkt_in_here,Vincent Dijambak,vincent jambak,0,"['vincent', 'dijambak']"
101,101,zaa.ra_,"vincent dijambak sama desta, mungkin vincent kira yang jambak dokternya padahal desta",vincent jambak desta vincent jambak dokter desta,0,"['vincent', 'dijambak', 'sama', 'desta', 'mungkin', 'vincent', 'kira', 'yang', 'jambak', 'dokternya', 'padahal', 'desta']"
102,102,isaacfoster080,"gw pernah pingsan jir, yg gw rasain bisa denger sekitar tpi mata gk bisa dibukaðŸ˜…",pingsan jir rasain denger tpi mata gk buka,-1,"['gw', 'pernah', 'pingsan', 'jir', 'yg', 'gw', 'rasain', 'bisa', 'denger', 'sekitar', 'tpi', 'mata', 'gk', 'bisa', 'dibuka']"
103,103,anaktiri05_,gmn caranya pingsan cu gw gprnh dri kclðŸ˜³,gmn pingsan cu gprnh dri kcl,-1,"['gmn', 'caranya', 'pingsan', 'cu', 'gw', 'gprnh', 'dri', 'kcl']"
104,104,zef1li,"pingsan itu secara alami bukan dibuat buat, dan yg BKN bisa pingsan itu Krn GK sarapan terus kurang minum air(dehidrasi) dan banyak faktor nya",pingsan alami bkn pingsan krn gk sarap minum air dehidrasi faktor,-1,"['pingsan', 'itu', 'secara', 'alami', 'bukan', 'dibuat', 'buat', 'dan', 'yg', 'bkn', 'bisa', 'pingsan', 'itu', 'krn', 'gk', 'sarapan', 'terus', 'kurang', 'minum', 'air', 'dehidrasi', 'dan', 'banyak', 'faktor', 'nya']"
105,105,anaktiri05_,iy phm ga dibuatÂ² tpi tqu infonya,iy phm ga tpi tqu info,0,"['iy', 'phm', 'ga', 'dibuat', 'tpi', 'tqu', 'infonya']"
106,106,zizizxixixix,Gue pernah hampir pingsan mata gue ke di tutup sendiri trus ke gelap banget tpi cpt2 di ksh minyak kayu putih gk jadi pingsan,gue pingsan mata gue tutup trus gelap banget tpi cpt ksh minyak kayu putih gk pingsan,-1,"['gue', 'pernah', 'hampir', 'pingsan', 'mata', 'gue', 'ke', 'di', 'tutup', 'sendiri', 'trus', 'ke', 'gelap', 'banget', 'tpi', 'cpt', 'di', 'ksh', 'minyak', 'kayu', 'putih', 'gk', 'jadi', 'pingsan']"
107,107,karenakarina_0,"Coba lu puasa trs jln2 aja , gw prnah hmpir pingsan gr2 puasa keliling cr baju lebaran, bdn lemes gemeter bibir pucet. Trpaksa jm 5 sore batalin puasa",coba lu puasa trs jln aja prnah hmpir pingsan gr puasa keliling cr baju lebaran bdn lemes gemeter bibir pucet trpaksa jm sore batalin puasa,-1,"['coba', 'lu', 'puasa', 'trs', 'jln', 'aja', 'gw', 'prnah', 'hmpir', 'pingsan', 'gr', 'puasa', 'keliling', 'cr', 'baju', 'lebaran', 'bdn', 'lemes', 'gemeter', 'bibir', 'pucet', 'trpaksa', 'jm', 'sore', 'batalin', 'puasa']"
108,108,dengansayasendiri50,itu ketindihan njir. pingsan itu seperti tertidur,tindih njir pingsan tidur,-1,"['itu', 'ketindihan', 'njir', 'pingsan', 'itu', 'seperti', 'tertidur']"
109,109,taniyarolianidewi,"kalo aku dulu pingsan semua serasa gelap terus tibaÂ²pendengaran lngsung nging gitu, mama aku teriak aku GK dengar lgi, mata aku siwerÂ²gituðŸ˜…",kalo pingsan serasa gelap dengar lngsung nging gitu mama teriak gk dengar lgi mata siwer gitu,-1,"['kalo', 'aku', 'dulu', 'pingsan', 'semua', 'serasa', 'gelap', 'terus', 'tiba', 'pendengaran', 'lngsung', 'nging', 'gitu', 'mama', 'aku', 'teriak', 'aku', 'gk', 'dengar', 'lgi', 'mata', 'aku', 'siwer', 'gitu']"
110,110,kpopersforever10,benerrr bgttt,benerrr bgttt,0,"['benerrr', 'bgttt']"
111,111,iyeoww,"pas sadar kek apanih ko rame rame, gue knp gue dmn ko bisa disiniðŸ¤£",pas sadar apanih ko rame rame gue knp gue dmn ko,0,"['pas', 'sadar', 'kek', 'apanih', 'ko', 'rame', 'rame', 'gue', 'knp', 'gue', 'dmn', 'ko', 'bisa', 'disini']"
112,112,zdnrinzky,sama,,0,['sama']
113,113,wahyuman12345iamfour,iya bang ðŸ˜…,iya bang,0,"['iya', 'bang']"
114,114,siimaull,bener bgt,bener,0,"['bener', 'bgt']"
115,115,xcay00,samaaaa,samaaaa,0,['samaaaa']
116,116,fajar.mmk,"itu mahh tindihan kalo malem biasanya, gw pernah njirrr gw kira gw mati gw teriak minta tolong soalnya badan gabisa di gerakan padahal kita kay hidup",mahh tindih kalo malem njirrr mati teriak tolong badan gabisa gera kay hidup,-1,"['itu', 'mahh', 'tindihan', 'kalo', 'malem', 'biasanya', 'gw', 'pernah', 'njirrr', 'gw', 'kira', 'gw', 'mati', 'gw', 'teriak', 'minta', 'tolong', 'soalnya', 'badan', 'gabisa', 'di', 'gerakan', 'padahal', 'kita', 'kay', 'hidup']"
117,117,isaacfoster080,bukan bang gw gk makan dri pagi trus kerja terus ampe lupa makan mkny pingsanðŸ˜Œ,bang gk makan dri pagi trus kerja ampe lupa makan mkny pingsan,-1,"['bukan', 'bang', 'gw', 'gk', 'makan', 'dri', 'pagi', 'trus', 'kerja', 'terus', 'ampe', 'lupa', 'makan', 'mkny', 'pingsan']"
118,118,c0r3ch4,"iyaaa, trs badan itu kek mati rasa gabisa gerak lemes banget",iyaaa trs badan mati gabisa gerak lemes banget,-1,"['iyaaa', 'trs', 'badan', 'itu', 'kek', 'mati', 'rasa', 'gabisa', 'gerak', 'lemes', 'banget']"
119,119,fannyfreezzz,itumah Ketindisan,itumah tindis,0,"['itumah', 'ketindisan']"
120,120,galehpw,orang pingsan hanyalah kusuh orang yang lemeh...!,orang pingsan suh orang lemeh,-1,"['orang', 'pingsan', 'hanyalah', 'kusuh', 'orang', 'yang', 'lemeh']"
121,121,farannnn02,coba lihat video yg saya sematkannnðŸ¥ºðŸ¥ºðŸ¥º,coba lihat video sematkannn,0,"['coba', 'lihat', 'video', 'yg', 'saya', 'sematkannn']"
122,122,_dimas0225,Lu di mna mna ada anjir,lu mna mna anjir,0,"['lu', 'di', 'mna', 'mna', 'ada', 'anjir']"
123,123,kyuzux,ga,ga,0,['ga']
124,124,always_smiling00,emot nahan berak ðŸ˜‚,emot nahan berak,0,"['emot', 'nahan', 'berak']"
125,125,robincwhann1,janji ga emot nahan berakðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥º,janji ga emot nahan berak,1,"['janji', 'ga', 'emot', 'nahan', 'berak']"
126,126,stuckthefuckup,moh,moh,0,['moh']
127,127,panj_9,liat sendiri,liat,0,"['liat', 'sendiri']"
128,128,anjay.w1,g dlu,dlu,0,"['g', 'dlu']"
129,129,magriful,jgn lihat video yang ku sematkan ðŸ˜±,jgn lihat video ku semat,0,"['jgn', 'lihat', 'video', 'yang', 'ku', 'sematkan']"
130,130,yanngbisatridi,oot,oot,0,['oot']
131,131,bbnggtt,coba lu lihat vidio yang gw hapus,coba lu lihat vidio hapus,0,"['coba', 'lu', 'lihat', 'vidio', 'yang', 'gw', 'hapus']"
132,132,biyorselfennersurender,liat aja sendiri,liat aja,0,"['liat', 'aja', 'sendiri']"
133,133,kaizokugari95,buat apa?,,0,"['buat', 'apa']"
134,134,zenn_099,gak mauðŸ˜œðŸ˜œðŸ˜œ,,0,"['gak', 'mau']"
135,135,pcrelan,ga ah ðŸ¥º,ga ah,0,"['ga', 'ah']"
136,136,danzdanz55.a,janji ngak ngemis ðŸ˜”ðŸ¥ºðŸ‘†,janji ngak ngemis,1,"['janji', 'ngak', 'ngemis']"
137,137,nazril230209,manja liat sendiri ah,manja liat ah,0,"['manja', 'liat', 'sendiri', 'ah']"
138,138,nopalgemge_,g,,0,['g']
139,139,unposedmaestro,ðŸ˜Œ,,0,[]
140,140,raaayyyyyyyyyyy,liat sendiri,liat,0,"['liat', 'sendiri']"
141,141,sbgzsbh,coba lihat video yang saya hapus ðŸ¥ºðŸ¥ºðŸ¥º,coba lihat video hapus,0,"['coba', 'lihat', 'video', 'yang', 'saya', 'hapus']"
142,142,abduuurr,sadðŸ¥ºðŸ¥º,sad,0,['sad']
143,143,gk_ray,selep ya,selep ya,0,"['selep', 'ya']"
144,144,in666urahh,jatuhnya bukan fyp broh,jatuh fyp broh,-1,"['jatuhnya', 'bukan', 'fyp', 'broh']"
145,145,rennn508,mandiriiiiiiii,mandiriiiiiiii,0,['mandiriiiiiiii']
146,146,lyoracam,jgn oot,jgn oot,0,"['jgn', 'oot']"
147,147,gaktau6824,salfok sama pp nya cantikðŸ˜…,salfok pp cantik,1,"['salfok', 'sama', 'pp', 'nya', 'cantik']"
148,148,ctxls_ptri,ampun dah,ampun dah,-1,"['ampun', 'dah']"
149,149,gabus_aquatic1,iy njirðŸ˜‚,iy njir,0,"['iy', 'njir']"
150,150,gabrieljuslanie,hadeh men mdg fsik,hadeh men mdg fsik,0,"['hadeh', 'men', 'mdg', 'fsik']"
151,151,eonbi,mutual twt gua anjr eta mah,mutual twt gua anjr eta mah,-1,"['mutual', 'twt', 'gua', 'anjr', 'eta', 'mah']"
152,152,malam.lovers11,udah ga noh wkwk,udah ga noh wkwk,0,"['udah', 'ga', 'noh', 'wkwk']"
153,153,sahamnh814,PP apaan sih bang poto profile ?,pp sih bang poto profile,0,"['pp', 'apaan', 'sih', 'bang', 'poto', 'profile']"
154,154,ngabciaa,liat cwe cakep mata langsung ijo,liat cwe cakep mata langsung ijo,0,"['liat', 'cwe', 'cakep', 'mata', 'langsung', 'ijo']"
155,155,_vcyrz,"hilih ,",hilih,0,['hilih']
156,156,gbttt45_,iyaa cantik bngetðŸ¥°ðŸ¥°,iyaa cantik bnget,1,"['iyaa', 'cantik', 'bnget']"
157,157,kuupmyeir,hode tu,hode,0,"['hode', 'tu']"
158,158,bapaknyajennie,makasih ðŸ¥°ðŸ¥°,makasih,0,['makasih']
159,159,cellynnevingf,oot,oot,0,['oot']
160,160,kwontolll1,serah orang lah,serah orang,0,"['serah', 'orang', 'lah']"
161,161,just_we.exe,culamitan,culamitan,0,['culamitan']
162,162,winterlovvie,yg bilang muka dia sp kocak? wkwkwwk,bilang muka sp kocak wkwkwwk,0,"['yg', 'bilang', 'muka', 'dia', 'sp', 'kocak', 'wkwkwwk']"
163,163,winterlovvie,emg yg bilang muka dia sp?ðŸ¤¨,emg bilang muka sp,0,"['emg', 'yg', 'bilang', 'muka', 'dia', 'sp']"
164,164,winterlovvie,yg bilang muka dia sp?,bilang muka sp,0,"['yg', 'bilang', 'muka', 'dia', 'sp']"
165,165,sechclaryssa,aku waktu itu pernah di ajarin sama pelatih PMR tapi jarang di terapin soal nya kalu upacara banyak yg sakit tapi yg PMR dikit ðŸ˜,ajarin latih pmr jarang terapin kalu upacara sakit pmr dikit,-1,"['aku', 'waktu', 'itu', 'pernah', 'di', 'ajarin', 'sama', 'pelatih', 'pmr', 'tapi', 'jarang', 'di', 'terapin', 'soal', 'nya', 'kalu', 'upacara', 'banyak', 'yg', 'sakit', 'tapi', 'yg', 'pmr', 'dikit']"
166,166,sesorang1,"bener tuh PMR ada pelatihan pas gw PKL dulu waktu masih banyak dan belum banyak yang PKL dibiarin aja, sekarang tinggal dikit baru ada pelatihan",bener tuh pmr latih pas pkl pkl dibiarin aja tinggal dikit latih,0,"['bener', 'tuh', 'pmr', 'ada', 'pelatihan', 'pas', 'gw', 'pkl', 'dulu', 'waktu', 'masih', 'banyak', 'dan', 'belum', 'banyak', 'yang', 'pkl', 'dibiarin', 'aja', 'sekarang', 'tinggal', 'dikit', 'baru', 'ada', 'pelatihan']"
167,167,worldriii,itu buat apa si? buat bangunin?,si bangunin,0,"['itu', 'buat', 'apa', 'si', 'buat', 'bangunin']"
168,168,cutegirlnih,itu buat nahan leher kalo ada cedera leher biar lidah tidak jatuh ngehalangin saluran nafas,nahan leher kalo cedera leher biar lidah jatuh ngehalangin salur nafas,-1,"['itu', 'buat', 'nahan', 'leher', 'kalo', 'ada', 'cedera', 'leher', 'biar', 'lidah', 'tidak', 'jatuh', 'ngehalangin', 'saluran', 'nafas']"
169,169,worldriii,"oh gitu, makasih yaa",oh gitu makasih yaa,0,"['oh', 'gitu', 'makasih', 'yaa']"
170,170,danang.ramadhan,"ni akun cuman 2 video, dua duanya fyp gw lohðŸ˜³",ni akun cuman video dua fyp loh,0,"['ni', 'akun', 'cuman', 'video', 'dua', 'duanya', 'fyp', 'gw', 'loh']"
171,171,hadiii546,sama njir ðŸ˜³,njir,0,"['sama', 'njir']"
172,172,wetan_kalen,udah 3 bray,udah bray,0,"['udah', 'bray']"
173,173,radar_bucin,kita sama,,0,"['kita', 'sama']"
174,174,saddddboyyajsh,sama,,0,['sama']
175,175,padri120,sama ngabðŸ˜‚,ngab,0,"['sama', 'ngab']"
176,176,pedasasinmanis.1,ppny cntik,ppny cntik,0,"['ppny', 'cntik']"
177,177,thoriqafriza,ðŸ˜³,,0,[]
178,178,punten_sopifuttt,sama njir di gue jgðŸ˜³,njir gue,0,"['sama', 'njir', 'di', 'gue', 'jg']"
179,179,katagw_,Puguh nang,puguh nang,0,"['puguh', 'nang']"
180,180,doubleuea,"@avocadorablue jaw thrust kita, cuma mangapÂ² doangðŸ˜”ðŸ˜“",jaw thrust mangap doang,0,"['jaw', 'thrust', 'kita', 'cuma', 'mangap', 'doang']"
181,181,vallllxy_,gk ngerti gw,gk ngerti,0,"['gk', 'ngerti', 'gw']"
182,182,3verybodysucks,dijambak sama desta,jambak desta,0,"['dijambak', 'sama', 'desta']"
183,183,bagsdsptra_,Iyya karna si Vincent rambut nya bkn rambut asli dia tanam rambut jdinya takut copot mungkin klo di jambak,iyya karna si vincent rambut bkn rambut asli tanam rambut jdinya takut copot klo jambak,0,"['iyya', 'karna', 'si', 'vincent', 'rambut', 'nya', 'bkn', 'rambut', 'asli', 'dia', 'tanam', 'rambut', 'jdinya', 'takut', 'copot', 'mungkin', 'klo', 'di', 'jambak']"
184,184,ashyln6,kenapa rambut tanam?,rambut tanam,0,"['kenapa', 'rambut', 'tanam']"
185,185,bagsdsptra_,Vincent juga tp dia dluan,vincent dluan,0,"['vincent', 'juga', 'tp', 'dia', 'dluan']"
186,186,bbungaurel,"rambut tanam itu biasanya kl uda mengalami kebotakan, tapi untuk vincent sendiri gatau kenapa",rambut tanam kl uda alami bota vincent gatau,0,"['rambut', 'tanam', 'itu', 'biasanya', 'kl', 'uda', 'mengalami', 'kebotakan', 'tapi', 'untuk', 'vincent', 'sendiri', 'gatau', 'kenapa']"
187,187,tvzham,"soalnya dulu emg ada bagian yg botak, sblm tanam rambut keliatan bgt itu. pernah dicengin enzy juga gegara tanam rambutðŸ˜‚",emg botak sblm tanam rambut liat dicengin enzy gegara tanam rambut,-1,"['soalnya', 'dulu', 'emg', 'ada', 'bagian', 'yg', 'botak', 'sblm', 'tanam', 'rambut', 'keliatan', 'bgt', 'itu', 'pernah', 'dicengin', 'enzy', 'juga', 'gegara', 'tanam', 'rambut']"
188,188,ashyln6,siapa yg duluan?,duluan,0,"['siapa', 'yg', 'duluan']"
189,189,ifanacyyuuuuuuuuuu,nih akun bisaÂ² nya fyp Mulu di gw video dua duanya lagi ðŸ—¿,akun fyp mulu video dua,0,"['nih', 'akun', 'bisa', 'nya', 'fyp', 'mulu', 'di', 'gw', 'video', 'dua', 'duanya', 'lagi']"
190,190,zabel_colin,Kok kamu cantik sih kakðŸ˜¡,cantik sih kak,1,"['kok', 'kamu', 'cantik', 'sih', 'kak']"
191,191,i_am.ucup,hanjay,hanjay,0,['hanjay']
192,192,dika51251,jir pp nya cakep,jir pp cakep,0,"['jir', 'pp', 'nya', 'cakep']"
193,193,zeus7981,"kak izin screenshot fropil nya ya, buat fropil mobilegends gue wkwk ok",kak izin screenshot fropil ya fropil mobilegends gue wkwk ok,0,"['kak', 'izin', 'screenshot', 'fropil', 'nya', 'ya', 'buat', 'fropil', 'mobilegends', 'gue', 'wkwk', 'ok']"
