Username,Komen
Safitry Muawanah,Maap Bun ngikut nanyaaa aku sekarang malah ada keputihan kaya putih susu gituu ficambur ada lendir kental dikit tapi warna nya ga kaya susu kalo lendirr itu kira kira knpa ya maap Bun
Fey Put,Kalo kepala bayi udah mapan tapi belom keluar palingan diinduksi dulu bun kontrol aja cari solusi yang terbaik
Agung Waluyo,Nanti waktuny lahir juga lahir sendiri bun.kn sudah  ada tanda2 kontraksi
Safaluna,Sering hubungan sm suami biar kontraksi
Cheemoy Bohai,makan kurma bun..
Ayun Nadziroh,Kok sama bngt Bun...tapi saya gk USG..hpl 16 Juni..tapi dedek nya belum launching..semoga segera launching ya Bun aamiin
Revan Dzah,"tunggu jha smpai hpl bun,ku juga gitu hpl bidan udh terlewat pas d usg lgi hpl usg tgl 1juni,kata dokter klo msih gc ada reaksi tgl 4 hrs kontrol lgi,eeh pas tgl 31 mei melahirkn"
Ummaya,"Emg ngak pernah hb sama suami buat bka jalan lahir? Maff kalo jorok, truz bnyakin aktiftas a kaya jalan pagi sore lakuin kerjan rumah yg ringan asal gerak gto ngk bnyak duduk dan tdur."
Novi Fitriyani,"Sama bun cuman di suruh yoga, senam hamil jjp, biyar cpet pembukaan"
Mastu Ria,"Sama spertiku bun. 2 kali usg didokter yg sama alat yg sama, hplnya beda2. Usg usia 2 bln hplnya 22 juni ini. Usg yg kedua tggl 30 mei kmren katanya hplnya bsok pagi tnggal 31 meinya. Aku jd gk fokus bun. Kta dokternya lg tunggu 2 mggu k dpn klo blm l…"
Hana Adzkiya Talita,Berdoa sja bun .ini pengalamnku bun waktu aqu usg kata dokter nya ini harus lahiran skrang hars sc tapi aqu gx mau selang 1 minggu alhmdlilah dede lahir
Maya Susan,Mending kontrol sj Bun. It sm kyk sya jg gt. Barusan habis kontrol
Siti Alika Lika,"Sabar ajh dulu bun,nanti kalo udh waktunya mah ,,detun lahir juga,serahkan sama Alloh bun..."
Desnawita,Tungguin sampai hpl bun...karena itu yg aku lakuin kemaren...
Try Syah,"Sya jga hpl 17 juni masih konpal terus mules ilang""an mudah""an cepet louncing"
Hayang Bisa,"tungguin aja Bun ,klo sudah waktu nya mah nanti juga lahir ko Bun ,saya juga lewat hpl 5 harii Bun , Alhamdulillah anaku GK knpa²"
