Username,Komen
Romlahh Yotama,"Lahh bisaan dengan tenang lahirannya, lahh sya rasain sakit sampe teriak gtw knpa sya segitunya pdahal pas udh lahiran mh biasa aja gk sakit"
Luchi Sri Wahyuni,"Alhamdulilah perjuaangan se,orang ibu sunggu luar biasa tuhan."
Safaras Afar,"Bismillah bulan 8,,semoga seht lncar semuanya...aamiin"
Hilda Reni,Sy hamil anak ke 7..hpl akhir Mei...kenapa deg- deg kan ya...gak kayak anak sebelumnya cuek..lahiran normal semua..klu udh kontraksi langsung ke bidan .beberapa jam kemudian lahiran...klu yg sekarang ada rasa was2 nya.
Panggah Nuku,Doktere lanang ajur
Vjest Gaming,"2 bln menuju kelahiraann anak pertama,,  setelah 5 thn penantiannn mohon doa nya ya"
Norkummala Normala,Senangnya....
Mawar Merah,Ank baru satu udh umur 22 thn..pengeeeeenn skli punya ank lagi ..dn sekarang umur sy msuk 42 thn apkh bisa lgi...
Adelia Indah,Kalo liat orang lairan gini aku kok malu ya. Tapi pas aku lairan ga ada malunya
Susanhaadi,Gk laki2 jg dong bidan ny
Triyana,"YaAlloh ikut klr air mata saking terharunya,,"
Bunga Bunga,"Klo ngeliat yg lahiran bgini ,, air mata tiba² ngalir , gak tau knpa .."
Mba Yani,Doa.in y Bun SMG saya dan suamiku scepatnya d kasih momongan....aminn
Yunita Sambriong,Syukur ibu hebat
NE Gesan,Ya allah semoga persalinan aku nanti berjalan dgn lancar
Ketut Sitiariani,"Saya dah 3x ngerasain lahiran normal,semoga nantk di 4x nya juga normal"
Srisulihatun Sulihatun,Alhamdulillah.
Awanz'e Nichen,Alhamdulilah lahiran saya jg sllu normal.lahiran yg ke 2 anak saya kembar alhamdulilah normal lancar...
Elviani Ikhsan,"Saya masih takut tuk lahiran lagi,krn yg pertama uda ngerasain operasi."
Dinda Erlina,Aku lagi hamil 8 bulan semoga lancar bayi normal dan aku sama dd selamat aminn
Lusia Ha We,Amin
Salam Kenal,"Semoga saya di beri kemudahan untuk lahiran normal,, aamin"
Nur Fatehah Nur Fatehah,Perhh sekali ja teran .saya  kalau teran 2.3 kali xlps gi haha .tapi dh sepasang anak . Alhamdulillah ..dh biasa merasa
Julmasni Mom's Lyiora Halawa,Krn saya mau lahiran akhir tahun
Adina Miranda,Jugaaaaa
Desi Ratnasari,jujur ini dri hati sya mending lahiran cs dr pda normal kya nya skit ga tau lah bingung.
Een Nuraenie Skincare,Dokternya laki2 yah
Matahari Nan Indah,Dok saya pasien praktek dokter......bolehkan SC dirujuk daro doktern
Hairul Yana,Klo dokterx cowok gimana ya.liat rambut aja dosa apalagi?hadeh
Made Okta Ariani,"Minus 7,5 gak dibolehin lahiran normal sama dokter"
Gendhis Rengganis,Baru punya anak 1
Nofia Meza,Apa nggak ada dokter perempuan ya? Atau ke bidan aja biasanya di bidan itu perempuan. Bagaimana pun itu aurat
