Username,Komen
Endah Wulandari,"Dulu pernah ngalamin kek gitu (nginfus SMP berdarah2 plus sambil canda2 sm temen2nya) padahal sy udh nangis2 krn ga tega liat anak sy, mo marah dah gada tenaga, berusaha sabar, tapi beda lagi cerita nya klo ketemu kluarga pasien yg gasabar salah2 yg ada kena jambak."
Abednego,Ya ..mngkin bapaknya ksih syangnya luar biasa..tpi klau bsa di rawat sendiri Pak jgan di bawah ke rmah sakit...
Della Delvira,INFONYA SALAH! YG BENER INI PERAWAT MAU MENCOPOT INFUSNYA KARNA MAU PULANG TAPI KARNA ANAKNYA GABISA DIEM PAS UDAH DICOPOT PLESTERNYA LEPAS DARAHNYA KELUAR DAN SI EMAKNYA SHOK SAMPE LAPOR SUAMINYA. BACA DI LAMBE TURAH
Rya Zafitri,"Sakit gk sakitnya juga bisa tergantung dari siapa yang psang infus klo kurang ahli atau pengalaman rasanya sakit , prnah dirawat waktu ditempat 1 rasa nya luar biasa seperti didorong2 alhasil gk bnr tangan bengkak trs pas dirujuk ke tempat ke 2 pindah …"
Erny Ghea,"Tendang aja telor nya.gak ada otak laki laki kok kasar,ngaku ngaku polisi lagi.emang kenapa kalo lu,polisi itu tuhan kah yg harus di sembah"
Faisal Ramadhan,"Bruhh, pasang infus pasien anak gk segampang dewasa yang bisa di kasih tau, bisa koperatif. Lah anak2 mana bisa."
Candra William,"Ane pernah dapet pengalaman ketika tiang infus bokap yang lagi dalam kondisi antara hidup dan meninggal ga sengaja jatoh ke ketarik sama perawat. Rasanya spontan kesel sampe ke ubun ubun, mau nampol dll. Tapi untung nya masih bisa nahan, karena ga mau …"
Suratman Hamid,"intinya tetap bpk ini salah, namany jg menganiaya org adl kejahatan, seharusny tdk dgn cara sprti itu klw ada kesalahan dri pihak oknum petugas RS, proses hukum sj biar adil"
Sovhia Prinensi,Sy juga pernah opname gr2 muntaber terus diinfus.. sudah lihat susahnya bagaimana masang jarum trus sempat sampe bengkak/ngilu gitu (entah masangnya terlalu dalam atau gimana sy ga tau karna sy awam ttp pengetahuan medis) jd diam aja namanya sy sakit p…
Puryanto Masteng,"Si botak marah pasti ada penyebabnya, kesalahannya dia sampai melakukan tindakan penganiayaan pada perawat tersebut."
ErnaWati Ma'e Setiyarahma,Nunggu video klarifikasi seperti yg sudah sudah cuma dengan kata MAAF
Micha Lumban Toruan,"Saya pernah ngalamin kasus seperti ini, entah perawat yg susah nyari pembuluh darah anak saya (umur 2 tahun) sampai berkali kali dari tangan kanan sampai tangan kiri , terakhir jadi dikaki pasang infus  berdarah pula, saya komplen tpi gak jambak² peraw…"
Endang Burhanudin,Anak saya juga baru ngalamin.kemaren tapi aku biasa biasa aja.sampe harus dirujuk.tapi aku pasrahkan kepada allah alhamdulilah anak aku udah suruh pulang amiin .penyakitnya lngsung di angkat.terimakasih kepada suster yg telah merewat anak hamba
Lulu Mar'El,"Anak saya pernah waktu mau di infus....  Krn udah sehari semalam di igd. Dan baru sampe di RS rujukan Jadi blm sempet di gantiin baju....  Di lepas paksa sama perawat ""sambil bilang...  Amis nian anaknyo buk"""
Benni,"Bs trauma mbk ini dalam bekerja kedepannya,ini harus ada dampinggan buat mental psikologis mbk ini,, dr rumah sakit,, karena beliau bekerja sampai dijambak ama di tarik seperti itu,,klu resiko pekerjaan, setiap pekerjaan pasti ada,klu seperti ini sdh BERLEBIHAN"
Adhitya Firandra Putra,"Masang infus ke pasien anak itu gak segampang masang infus ke pasien yang dewasa, musti feeling yang kuat.. Gak segampang itu pak lu bilang, usut tuntas nih.. Ngerendahin martabat keperawatan, ksihan teman sejawat di kek gituin"
Iyan Fian,"Sebagai pengalaman aja,,,kalo posisi anak udh dehidrasi yg namanya perawat mana aja pasti bakal susah masang infus nya.dulu pas belum tau emang agak kesel,tapi setelah kita cari tau ternyata memang kondisinya kek gitu susah."
Anggrey Pandanarum,"Lain kali klw sakit, pasang sendiri pak infusnya.."
Fransiska Rina,bawa kedukun aja pak gak pake jarum infus....ada hbs bapak marahin dukunnya bapak di santet
Ayu Si Nyonya Febrie,"Serem bgt tu org...  marah krn anak luka sih boleh,, wajar,, tp klo marah nya sampek kyk gtu gag wajar.. Itu suster jg anak org,, klo mak nya gag Terima bisa panjang kn urusannya"
Shin Ta,sejak kapan masang infus gak keluar darah;)
Kus Nan,"Sy yg sdh tua saja sampai ditusuk jarum 5x baru ketemu jalur darahnya.apalagi anak kecil yg blm bisa kita ajak bicara.kita hrs bersbr dgn keadaan ini.utk bpk yg lg emosi sy maklumi,,,toh semua akan berlalu.bpk yg lg emosi itu,,,sy yakin akan menyesal s…"
Catur April Hantoro,"gak bisa hanya dari video ini, sebelum dan sesudah video juga harus dijelaskan baru yang salah harus diberi sanksi.. dari video terlihat sang bapak bertopi sangat arogan, tpi apa sebabnya harus diklarifikasi,jangan2 dia mendapat hal yang tidak semestin…"
Faida Faida,Ini juga bs buat pelajaran para suster YG Masih dlm tahap pembelajaran untuk bener2 klo mau masang infus . Sebab klo cuma Di cucuki Sakit. JD orng tuanya jg merasakan Sakit. Sabar juga untuk ortunya walaupun Sakit Dan Minta Aja suster YG sudah senior u…
Supri Yanto,"Lapor polisi, tindakan penganiayaan, ini negara hukum siapapun yg salah hrs d tindak, jgn ada kata damai biar ada afek jera"
Berkah Permata,"Hmmm...reaksi si bapak berlebihan pak, namanya anak kecil jgnkan disuntik, diperiksa aja sdh nangis teriak2, anak saya pernah kejadian tertusuk jarum suntik dua kali, lantaran meronta saat mau di suntik, alhasil jarum tersebut sampai bengkok, dan itu j…"
Juwardin,Bapa kalau anak nya ngak mau di infus ngak usa bawa rumah  sakit deh...
Den Agus,Ealah.. jenenge di infus iku di jojo dom bosku..
Samsul Kfa,tunggu episode selanjutnya dalam judul minta MAAF..
Upit Suryani,Biasanya yg berdarah ketika psg infus itu kesalahan ada di tbh pasien. Jd tdk mutlak kesalahan perawat nya. Hrs bijak jg melihat permasalahan nya..
Butir Ajjh,Security-nya lupa tugasny gara liat yg gede badan
Ayda,"Anak saya umur dua tahun pernah terkena dehidrasi parah, diurus 4 perawat yang berusaha mencari jalur darah untuk infus, ke 4 perawat tersebut masing² mencari ditangan kiri dan tangan kanan serta kaki kiri dan kaki kanan, lama sekali entah sudah berapa…"
Saeful,"Dulu juga anak saya wakt usia 1thn, si perawat ny buka infusan malah sampai ke gunting dan berdarah. Tp msh hal wajar lah. Perawat juga manusia."
Ade Supendi,Kalau ga percaya sama perawat jangan di bawa kerumah sakit obati aja sendiri pa perawat berusaha menolong kalau. Ada kesalahan jangan emosi begitu pa kalau udah di usut orang seperti bp paling jawabnya minta maap
Na Cha,Dulu anakku msh kecil trs sm suster di suntik dgn rasa takutnya anakku si suster langsung aja maen suntik anakku akhirnya anakku py trauma klu ketemu suster2..tp kita orang bego ya sdh lah..tp sempet sih aq mengucap dlm hati knp sm anak kecil cara nang…
Eny Wiandani,"Keinget 8 thn yg lalu, gara"" G bsa diinfus ditangan kanan & kiri jd mau diinfus dikaki, pas mau disuntik kekaki langsung dong ya kta sepakin perawatnya , dan akhirnya perawatnya ngalah ngelihat pasiennya nangis ketakutan disuntik dikaki , perawat…"
Azmi Adatihara,"Segitunya sih pak,g stiap org pembuluh darah nya d Cari dgn gmpg,kdang hrus  d tsuk ber x x Dan pindah"", Dan sring x Naik Klo d pke buat gerak, bhksn q dlu buat pipis aja darah Naik bwah botol infus."
Bunarto,"Suruh pasang sendiri saja infusnya, dasar bpk arogan, dipikir gampang pasang infus anak balita. Hampir setiap balita sulit dipasang infus, jd tolong dimaklumi suster tsb. Sy yakin dia tak bermaksud untuk mencelakai si balita. Seharusnya si bpk bs menge…"
Imam Jajuli,"Istri saya pas mau lahiran ampe bengkak dan pindah tangan bagi saya gak ada masalah selagi tetap berusaha demi pasien ,"
Raja Tobing,"Memang dilema, tidak semua perawat  mahir memakaikan infus. Apalagi kalo vena pasien tidak terlihat. Maka pihak rs harus siapa tenaga medis yg trampil."
Didi Herdian,"Kesel bolleh, tapi jangan pelampiasan emosi seperti binat*ng (apalagi yg dilawan perempuan)"
Fii Dhi,"Anak umur 2 tahun sgitu memang aktif"" Nya , sama kayak anak ku umur 2 tahun kmrin juga masuk opname, karna sring di buat gerak tangan jadi bengkak, darahnya juga agak kluar jadi menyumbat jalan cairan infus nya, namanya juga anak kecil pasti ya nangis …"
Tak Ada Nama,Biasanya org tua susah bget tuk cari urat yg mau di pasang infus.. Pasienku sampe berulang kali suntik gagal sekali bisa blm genap 4 jam udah bengkak terpaksa copot Dan cari lg. Kurang sabar za anak pasien
Vie Vie,Bnyk yg masih blajar malapraktek.. Emg gk sakit apa dtusuk2 pke jarum.. Saya sempet kesel.. Bisa gk sih sus ksian ibu saya darahny udh bnyk gk bisa2.. Giliran datg yg satunya lgsg bisa.. Duh aplg ank kecil mna tega liatnya.. Jambak aj bu sya klo dposis…
Gunawan Kong,Satpam kurang sigap itu korban udah di Jambak cuma diliatin malahan sempat mundur..mohon pihak manajemen atau biro yg berkaitan evaluasi kinerja satpam yg bersangkutan mengenai tugas utama seorang penjaga keamanan...kasian korban
Antonia Dwi Suryanti,Duh pak arogan sekali pak...seharusnya bs d bicarakan baik2...perwat masang ato melepas infus it sdh ad SOP nya.
Nyeqick Qicko,Apapun itu terlepas ntah crta awal jg bagaimana hingga akhirnya sprti di video.
Sulis Tyo,"Aq juga pernah anaku pas sakit sudah sakit dicublas cubles jarum nggak bisa2 akhire aq marah2 terus nggak jadi dinifus lanhsung keruangan,e sorenya didatangi kepala perawat mau pasang infus dia jamin langsung bisa benar juga di tangani perawat asli sek…"
Dwi Ismi,"Tidak semua tpi ada sebagian sllu aja ada perawatan yg junior, yg kurang paham, yg seniornya kdang sambil ngobrol, kita orang tua betul"" Memperhatikan tu jarum nyucuk ketangan buah hati yg kecil, anak kecil lho, klo anak Bpk itu sdah dewasa, gx mungkin…"
Siti Nur Bariyah,Duh itu kan tergantung pasien nya kadang emang agak susah nyari yg buat d infus saya aja sering bgtu dan kadang smpe pindah beberapa x
Fransiska Rina,bapaknya kaku amat. waktu anaknya sy opaname jg gtu anaknya terllau gendut dan gak bs diam makanya jarumnya suka lepas.tp sy gk panik krn emang anak sy gak bs diam...
Abdul Sukur,"Kl mau suruh pasang sendiri tu infus, hargai profesi org lain...pake otak pak, jgn emosi yg km bawa kemana...NOL"
Keisha Cia,"Lha klo emg pembuluh darah korbang kecil emg sulit,,, klrga saya tergolong punya pembuluh drah kecil,,, jd tiap kali mau di infus rata2 lebih dr 3x bahkan pernah sampai 8x ,,, bukan dr dokternya yg gg pengalaman,, emang dr pembuluh drah pasien yg kecil…"
Marpuah Puah,"Kasar amat pak sama perempuan, anak sy pernah di pasang inpus salah, tgn nya sampe melendung air impusan gak masuk ke urat nya,tapi suami sy tegur nya gak pake marah,"
Edi Kusnadi,Pernaha Anak saya di infus ampe gagal beberapa  kali..
Yoga Irawan,"Jika ini benar terjadi seperti yg di ceritakan , Lbh bagus pasien buaT RS Sendiri , Perawat , Dr juga manusia."
Dian Dili Trisnowati,saya saja yg sdh tua..dcari pembuluh darahny sampe 4 kali g ketemu.sampai2 perwatny keluar keringet..sesekali blg maaf.susah banget.ktny MBlembut banget pembuluh darahnya.akhirny bisa ketemu dcari pake jarum untuk anak kecil..
Rahadian Lucky Ashshidiq,"Kadang pihak rumasakit juga managemen SDMnya kurang diperhatikan. Anak saya aja panas kejang cuma dikasih obag kejangnya aja tanpa penurun panasnya, yaiyalah akhirnya harus rawat inap gegara panasnya gak turun turun. Setelah dipelajari bangke itu oknum…"
Septian Syihab,Kalian tau gak betapa sulitnya memasang jarum infus terutama ke anak2 .. kalo orng dewasa sih gampang pembuluh darah nya keliatan .anak2 kadang sulit nemuin nya . Kalo memamng perawat nya salah gak perlu lah arogan kaya gitu bisa di bicarakan baik baik…
Febrian Dio,Sebagai orang Palembang gua malu banget lihat kelakuan bapak  kayak ga ada cara lain aja buat nyelesaiin masalah nya
Ana Maria Srisunarmi,Suamiku waktu mau d katerusasi jantung d pasang infus sampe 7 c baru bisa n sempat emosi karena sakit tp engga sampe begitu deh
Septia Septia,"Mangkannya ya kl d R**l  pas lagi anak sakit selalu orang tuax g boleh ikut masuk waktu pasang infus, takut gak tega, karena g semudah pasang infus k orang dewasa, kl anak kecil tu lembut banget ,jadi cari pembuluh nya susah, aq dah pengalaman anak sak…"
Eno Tris Sut,"Anak sy prnh sakit di rawat, swktu suntik infus, gk ada darahnya, akhirnya suntiknya pindah lagi di lokasi lain, tpi gak ada darahnya juga,  mau gk mau pindah lgi, sampe 3 kali suntikan , baru ada darahnya, , kasihan mana masih umur 3 tahun,  dalam hat…"
M Yusuf Arifin,bapaknya itu kok sok jago beraninya ama perempuan biarkan aja tu anaknya ndak usah di urus biar di obati sendiri ama bapaknya . anak ku di tubles sampe 3- 5 kali tp saya ndak segitu bngt dasar
Siti Aisyah,"Saya berulang kali nambah dara HB, berulang kali di infus di copot di pasangin LG, ya kdng keluar darah, yg masang kan manusia yg pastix punyk kelemahan dan kekurangan, ingt yg smpurna itu Tuhan, kasian jangan smpy di jmbk seperti tu"
Ifan Suganda,"Kasar amatt, gx bgtu juga x. Sayang anak sih sayang tapi cara2 seperti itu tidak d benarkan dan tidak patut di contoh."
Didik Mhahardikha,Wah bawa2 nama polisi dia.....jd klu mentang2 polisi seenak jidat dia berbuat begitu. ..??? Bukannya malu malah sok banget bawa2 nama instansi....orang kaya gini ga patut jd pengayon masyarakat.....
Yeni Rahayu,Palng nanti ujung2 nya minta maaf ke petugas yg di aniyaya... Nangis2 mohon2... Lagu lama itu.
Neti Herawati,Itu nm y org yg gak tau trima ksih sm aj nolongin anjing kejepit bpk sy aj prnh kya gitu pas jrum infus y d cbut bnyk k luar drah y gak ap ap bpk itu terlalu lbai
Marojahan Sitompul,gak perlu kali lsg ambil tindakan anarkis begitu. kan bs lsg lapor sm pos perawat agar di utus perawat yg benar2 pintar cari urat darah agar keluarga kita jgn tersiksa begitu. gmana kalo keluarga mereka sendiri yg dpt perlakuan spy itu...???
Aisyah Zei Lani,Kita nda tau jelas kronologinya berdarah atau pendarahan kita nda tau berapa kali ditusuk atau berkali kali GK dapat dapat sampai berdarah atau pendarahan Kitakan GK tau kalo masih baru jadi perawat atau tapi blm paham jgn coba2 deh entar malah salah2 …
Teguh Santosa,Yg berbuat paling orang gedean dan pasti gak ada tindakan lihat saja............
Budhi Artana,"Ujung ""nya cuma minta maaf"
Kandvarof Asternelpee Ufavforus,"Klo pun ad ksalahan dr suster ttg hal tsb,it msih ksalahan kecil ttg tsuk/cabut infus..."
Naft Stef,"Bentar lagi juga masuk tv, pelaku nangis2 minta maaf. Sudah biasa di Indonesia begitu"
Nanda Asahra Defi Defi,Buat para ruma sakit jangan mau terima yg keluarganya kalo pasienya di infus takut berdarah
Jo Putri,"Kalo misalkan anak2 ya wajar susah cari pembuluh darahnya... Wajar kalo pasang atau copot infus berdarah, sakit jg pasti ada."
Sab,Tenang di negri maju ada restorative justice..
Titin Suratin,Eallah to pak jare polisi berpendidikan tinggi to kok klh sama yg lulusan tk orang udik pula' aku pernah di rawat mau masukin infus di coblos sampai 9x blm dpt2 biasa wae kok' sampsi biru kabeh klu bisa knp g mbok pasang dewe pakpak
Evrie Ummu Attar Ameera,Terkadang bukan salah perawatnya tp krn anaknya yg banyak gerak dan meronta2..alhasil selalu salah masuk bahkan kdg2 jarum bisa patah
BorSil Johana,"Kalau pun si perawat berbuat salah, kan bisa melapor ke direktur RS nya, kenpa hrs menganiya perawat ? Lebih bijaksana kan, dan siapa tau sbagai permintaan maaf RS ,si bapak dapat discount biaya perawatan...Hadehhh...jadi pengen tau darahnya sebanyak apa sih"
Febby Febriyan,Saya pernah pas anak sya panas smpai kejang d infus
Bram ManTyo,Kalo bisa jalur hukum knp mesti DAMAI ....jgn ada kata DAMAI dan MAAF
Iz,Manusiawi sih marah lihat anak nya kek gt..tp gak perlu pake anarkis juga ..cukup tegur kalau ada yg kurang berkenan..hem semoga tidak ada matre di antara kata maaf
Riany Theresia Cola Koten,Yah namanya pasang infus pasti berdarah la.apalagi kalo vena nya kecil .kalo yg gak mau anaknya di rawat .pasang ajah lu sndri d rmh  sama paraji kek paranormal kek.manusia ga tau terima kasih.
Eva Minerva Sokifa,Aduh yg namanya pasang infus berdarah atau salah itu sudah biasa...krn pembuluh darah yg besar kan kadang muncul tp pas bgt di msukkan jarum infus...selang infus ga mw jalan...akhirnya hrus pasang lain lagi...gue aja ampek pernh 3 kali lepas pasang amp…
Istiq Enha,anaknya bawa kedukun aja pak siapa tau nanti disembur pake aer kembang langsung sehat
Mas Den,"Yg komen mlh curhat ,yg mukul jg salah harusnya negur perawat biar ganti yg senior,yg nyabut infus jg salah pasti dia lg magang  harusya minta dampingi senior.semua salah   udah tau salah semua msh di comen jg  awas pak ntar di vonis corona ribet urusan nya."
Lili Noventina Saragih Simarmata,Kurang komunikasi yg efektif kayaknya mknya bapak tu g tau proses tindakan yg dlakukan ke anaknya....
Selviwulandari,"Suruh obatin sndiri, infus sndiri tu anak nya,, arogan banget,"
Didik Putra,Yg nama nya pasang infus atau lepas infus  pd manusia yg masih hidup atau manusia lg sakit.. pasti berdarah... kalau tidak berdarah itu manusia sudah mati... jd orang awam tp jgn bodoh2 benar..
Ridho Wijaya,Imron Sjamsuri susternya melepas impus main tarik saja sampai bercucuran darah pasien nya yg masih anak anak sudah bagus satpam nya menangani dengan tidak anarkis
Ade Aditya D'Smile,Di infus mah pasti keluar darah...
Joko Purwanto,rawat sendiri aja anak nya ngk usah di bawa ke RS.. emosian bgt lo pak
Hidayatullah,Stress kayanya bapaknya yg sakit bukan anaknya coba kasih biuss biar gak buass liarr sekali membahayakan jika dibiarkan
Aden Raden,"Memeng harus dikasih pelajaran.karna kbiasaan,perawat songong lebih dr dokternya."
Aris Motor,Kalo mencari keadilan harus didengarkan keluhan dari kedua belah pihak
Joko Wahono,Sudut pandang mana kalian lihat broooo....
Rama Khayla,"Giliran bapak tu nanti nya yg sakit,,pada takut deh parawat nginfus nya..."
Ahmad Suba'i,Sebentar lagi klaras Gedang minta maaf
Rani Andriani,"Masang infus anak2 emang gak ribet,,mungkin si anak tangannya ga mau diam tangannya"
Emir Raharjo,Maaf ini yg ambil video siapa ya....bukanya dlm rumah sakit dilarang merekam video Dan memfoto...
Sinta Ulandari,Yahhh saya kemarin 5x dicolok jarum infus baru dapat Krn kurang minum sebelum diinfus harus makan dan minum lebih banyak agar mudah nyari tu pembuluhnya....
Jen Efendi,Berdarah nya bagaimana sich ?? Bukannya biasa aja di infus kalau berdarah..
Kemput Fatamorgana,Nunggu mewek sambil minta maaf
Dwi Riana,"Astaghfirullah,,,klo lepas infus/pasang mmng suka berdarah,,,jgn arogan gitulah dgn perawat sampai jambak sgala,,,y ampun,,,udh bsok2 klo sakit obatin sndiri aj jgn ke rumah sakit,,,sombong skali anda y,,"
Saeful Bahri,Kalau lagi nyerang perawat garang..tar kalau d  tangkap karena penganiayaan pasti lembek gak segarang lagi marahin susternya..ujung2 minta maaf...orang kaya gini mesti d kasib pelajaran
Wahyu Widiantara,Mungkin di kepolisian di ajarin ky gt X...
Ajeng Pita,Masang infus untuk cek advoket nya udh masuk apa belum ke vena nya pasti keluar darah
Agnes Windi Fadilla,Pengen liat yg d bilang smpek berdarah yg kek gimana...
Pedro Rrt,"Ank gwa ja yg umur 2 tahun, pas waktu di rawat"
Iis Jax,Security nya kok kayak gitu gax ada tindakan melindungi sekali malah tangan nya melambai2 gitu memegang tangan tersangka...
Ayhu Irianty,"Macam gk pernah di infus sja tuh bpakx,dmna"" lepas infus pasti berdarah walaupun sdikit"
Arno Oyee,Nunggu vidio berikut nya dngan wajah melaas daan minta maaf...... Sudh tradisi abs aniaya... wajah garaang dan berduwit cukup pake jurus melas urusan kelaas.. Tanpa meja hiijau.... Coba orng kurng mampu...???????
Evi Oktaviana,"Lebih detail nya bukan masang sih, tapi melepaskan jarum infus"
Fitri Ani,Pemirsa yg Budiman coba pahami lebih teliti lagi ya..kata kata dari pelaku  low polisi
Nety Widati,"Kalo kesel pun jgn lah main pukul jambak , keliatan bnget ini bpk sering KDRT, sama perempuan kasar gitu ."
Dortiana Simanjuntak,Kok yg pakai baju safari mendorong perawatnya bukannya menolong
Rivayi Arifanto Hutagalung,Wah parah sih Polisi aja masih dibentak... Makhluk jenis apa itu ya? Enak disundut rokok sekujur badannya nih org..
Anda Utama,manusia congkak plus G*b*** biasanya demen barbar
Devienna Wulandari,Gimana klo kyk anak ku yg jarum nya lepas tertancap
Priincess'Vallen,Sya ampe 5 x tusuk sna sni infus mna judes2 yg pasang tpi mau gmna lgi nmanya bpjs
Sadeli,Pihak rumah sakit doktr prawat emang ga bisa di adili  harus kita adili sn diri emang kadang ngeslin di rumah sakit tuh
Anna Rena,"Setauku klo anak2 memang agak susah anakku dulu sampe pindah2 tangan kanan dan kiri ga bisa akhirnya dapat dikaki, dan yg ditanganpun berdarah, emang anak bapak itu berdarah sampe harus nambah darah apa kok marah2 kayak gitu ato nih anak emas bapaknya …"
Mami Edfyn,Anaknya lasak ga mau diam kayak bp nya arogan
Limbong Margana,Perbuatan ini  kurang bagus harus dilaporkan ke polisi soalya biar ngaada lgi kejadian serupa
Wani,"Itu emosinya baru 20%'.mo liat video slnjutnya,udh di tangkap polisi,apa masih nampak garangnya.,..,"
Nino Sumartono Sanjaya,Aku pernah pas di infus cari pembuluh darah nya susah karena aku gemuk. Jadi ditusuk keberapa tempat di tangan dan akhir nya ketemunya di kaki.. manusiawi lah ini karna mencari pembuluh darah itu gak mudah.
Daun Serai,Orang Seperti Anda Harusnya Di Beri Apresiasi Berupa Hantaman Benda Tumpul Di Sekitar Kepala
Dewii Diion,Lelaki yg Ringan tangan. ..dgn org laen pun bahkan perempuan spt itu ..kog sy mlh kasihan dgn istrinya ya.....
Haris Supebi Anward,Yg sy sesalkan securitynya.. g berbuat apa2.. cuman nobar aja
AD,"Security RSnya knp kaya kurang greget yah, bukannya melindungi malah terkesan membiarkan"
ORien Fitriani,Akibat kecemasan bapak nya juga sih mendahulukan emosi ny ktimbang akal sehatnya. Hmmm
Rega Fajar,"Klo sakitmya DBD emang susah pak, itu pak security bukan yg pakai baju sergam hitam"
Putri Surani,ujung2 nya klarifikasi nangis2 minta maaf si bapaknya... lagu lama'
Ainun Na'im,"Security nya plonga plonga, mau dia Polisi mau dia preman kalau dia salah seharusnya ya di sikat. Goblok banget tuh baju merah."
Rozaq Ahmad,Saya pernah anak saya sampe pindah 2kali ga tega pgn marah tp ya ga gitu juga caranya
Mayang Aulia Mayang Aulia,Mustinya suruh aja yang jambak yang pasang infus jadi sebel liat kelakuannya
Dedy M,Itu bapak yg pkai topi spertinya udah nyiapin meterai 10rb dikantongnya...
Tondi Sipangkar,Ternyata cuma berdarah saat perawat lepas infus anaknya. Barusan cari tau kronologinya di portal2 berita lainnya.
Sunjaya,"Udah karungin aja,,org arogan kya gt g patut diksih kata maaf,,"
Kristiana Joana,Tp kadang emang ada perawat yg kyk GT...yg dsalahkan mlh pasiennya...yg dblng ga mau lemeslah ini itu...pasiene dimarahi...
Muchamad Rifani,Perawat itu manusia bs salah. Aplg mslah cucuk infus g smudah itu cari pmbluh darahnya.
RoRo Febbyana,Tugas sekurity ngapainn cuma nonton??
Azhari Achmad,Pas diciduk polisi baru nangis nangis minta maaf
