Username,Komen
Rosmaniar Niar,Manusia macam apa nih dampe tiga cucu nya di matiin ya
Nita Kampai,Di Sol Sel nyo dimano itu kejadiannyo ? Kok tega tega sekali Kakek Neneknya buat cucunya sampai maninggal 3 orang  ?  Subhanallah...
Putri Tangguh,"Jikalau kalian SBG orang tua hanya bsa mencari kesenangan sendiri mengapa mengambil keputusan untuk memiliki buah hati,,,jikalau tak mampu membesarkan nya,banyak orang tua yg lalai hanya demi kesenangan saja,,,,demi Allah aku SBG manusia menangis melih…"
Fitra Anandha,Astagfirullah Alaziiiiim...
Victoria,Astagaaa
Victoria,Lai manusia kk nenek tu tuh ?
Widia Siska Sari,Ndak kali ya
Widia Siska Sari,Kalau manusia di pasti tidak membunuh 3 anak cucu nya
Widia Siska Sari,Lain kali anak2 kecil jangan pernah di tinggalin sama kk atau nnk tiri nya
Widia Siska Sari,Anak adalah titipan dari allah
Abdul Qadir Jailani,Yg aneh nya lagi..org tua nya kemana..
Marlina Yeli Yenti,Astaufirulllah
Rita Anggraini,"Benar ngk ni,? Masak iya seorang nenek tega membunuh cucunya,,satu anak aja lom tentu,apa LG tiga,"
Rasyid Raisya,Hukum dengan seberat-beratnya
Osry Aprilia Putri,"Ini benar ya teman2, kejadian ny dkmpung saya. Ibu sma ayah ny lg jualn pakaian jd di asuh sma nnek kakek ny"
Eddy Monies,Hampir terkuak pslaku nya... mudah2an cepat....
Mirel Sofanti,Iko nak anak yg di surian tu
PutrianniSikumbang Putriannysiekumbangg,Memang tasabuik Bana ndk..yang tiri jarang Nn sayang tulus dari hati ketek nyo ..Wak bia Wak jamua anak di bwah batang cangkeh sawah asal lai ndk lapeh dari Mato awk anak....ndk berani menitip anak lamo2 dh..kadang zaman kni jarang juo Ado hati sanubar…
Alexs Xela,berarti petugas medis yg melakukan pemeriksaan waktu itu tidak becus kerja asal asalan..masa tulang rusuk nya ada yg patah nggak tau..cuma di bilang sesak nafas..apa tidak di ronsen?
Why Hdyt,"Kakine ninine uteke Neng silit,,idek ndase Bae kui kudune,,,"
Mela Sri Natalia,
Muahammad Savickry,Lai dac stres kekek nenek manusia kejam na...dac bsa di agiah ampun t do...skli 3 nyawa malyng dek nyo ..aaa manusia bejat lai na...
Veri Vameo,Indak manusia kakek Jo nenek Nyoo tuu do melebihi seperti Binatang atau iblis Dan juga setan laknat
Hafid Hurairah,Se andainyo aden di kampuang den patahan urek lia mariah ka duoee .. dasar biadab . Bangsat..
Zul Apendi Shi,Hati-hati menitipkan anak dengan orang dekat sekalipun...
Emilda Sri Anggun,"ada yang salah dengan tim medis, orang keracunan itu pasti mereka tau persis tanda2nya. Investigasi harus juga mengarah kepada tim medis atas kelalaian atas mungkin kesengajaan mereka"
Marianis,Semoga  mereka diridoi allah masuk sorga yg paling bagus. Amiiin
Eka Eka,Hukum mati aja 3 anak tewas
Yendrano Frata,Petugas medisnya harus diproses kok bisa salah anilisis. Jgn2 dokter gadungan. Ingat salah analisis pasien bisa berakibat fatal jd petugas kesehatan harus betul2 paham dan ngerti ilmu kedokteran.
Yulia Roza,"Knp pula yg jagain anak"" tu nenek sama kakek tiri ny pula,,,"
Suherman,Nenek kurang ajar ma .hukum mati saja .termasuk orang tua anak .TDK bertanggung jawab sama anak .masa anak2 kecil2.sdh di berikan ke nenek teri lagi.mana tanggung jawab  orang tua .senang saja yg mau.sdh ke luar anak di suruh asuh sama nenek bintang ma…
Silvia Sasmita,Binatang nenek jo kakek tu ma ndk punyo hati nurani do
Nely Yenti,Nenek Jo kakek di hukum mati aja jangan di biarin hidup dasar binatang tidak punya hati
Afliya Husna Zila,"Astagfirullah, apo banau salah anak tu sampai modetu banau tega kaanak ketek2 yiah, saparo gilo urg ko mgkin mah...."
Umar Abdul Aziz,"Kok tega bner y,,,anak sekecil itu......"
Nopibusri,"Dokter gadungan atau cuma gelar aja dokter,"
Renti Renti,"Nenek kakek, biadap"
Ena YD,Ya Allah ya Rabb.. kok kejam sekali lah nenek sama kakek tiri nya yah.. mungkin karna bukan cucu kandung mereka.. semoga pelaku di hukum mati
Avel Dt,Kakek nenek keji lebih dari binatang pantasnya dihukum mati saja
Aan Chaniago,"Kakek jo nenek ko lah Gilo mah, kurang juo agama nampak nyo."
Nurdany Wahiddin,Nenek jo kakek ilang aka sehat nyo lah kemasukan sijundai
Eiz Nasution,"Masalah nyo apo yo kok bs tega yg gaek tu menganiaya cucu tiri nyo, dasar biadap lh"
Des Nimar,Yaa ampuuun....kita aja mencekik anak kucing aja gak berani apalagi manusia sungguh biadap tu orang
Chuwaik Jambak,yaa ampun.kegagalan dan kelalaian berawal dari kedua org tua.
Gusni Afnita,Kalau Ndak sanggup mengasuh anak2 yang kecil seharusnya di serahkan ke panti asuhan jangan paksakan diri untuk merawatnya kalau tidak.punya kasih sayang.
Lina Jumeoct,"Nenek biadapp,,ksihh hukuman gantung janpakk,,"
Yulisma Ema,Kalau memang pembunuhan keji ya kakek  dan nenek harus bayar tagihan nyawa juglah. Atau hukum Mati.
Yus Afriani,mmg binatanglh kakek ma nenek tiriny ko...yo bana tega..iblis
Evi Afriza Lavisa,Iblis Memang
Nofrya Andini Andini,"Astagfirullah hal'aziiim,"
Salsabila,"Kok sampai kakek n nenek tiri yg mengasuh ortu nya kemana,jgn mudah percaya SM orang sekali pun klrga sendiri,ini akibat nya,mana ada d dunia ni yg iklas dan suci hati nya tuk merawat yg bukan darah daging nya"
Qinara,Astagfirullah sungguh kejam nya ya Allah.
Yulia Fitriyanti,Astaghfirullah...
Novi Dan Cici,Biadaap iblis
Efrita OzoNe,Astaghfirullah Hewan saja synk pada anak nya
Nelly Amir,Yg mandiin jenazah kenapa ga tau yaa?? Apa sengaja tidak di laporkan?? Waktu mandikan jenazah kan biasa nya bagian leher pasti di bersihkan jg..jadi curiga jg sama yg mandikan..atau yg mandikan masih saudara nya nenek itu kali
Winno Satria,Labiah dri binatang th mah... Anjiang c di tumpangan anak anjiang lain di gadangan nyo sampai gadang ma...
Sultan Adifa Fije,Ya Allah....benar benar kejam.....
Ny Arkana,"Saya pikir, mungkin bermasalah hanya satu anak saja, mungkin mereka nakal atau apa terus disiksa sampai mati sedangkan anak yg lain melihat kejadian itu, karna takut anak itu mengadukan perbuatan mereka, makanya semua anak dibunuh, namun sayangnya mere…"
Ardison,Matikan saja kakek tirinya biar mampus sekalian
Lusma Yunita,Bakar aja itu kakek dan nenek nya .binatang itu
Indra Chaniago,Astaghfirullah
Edo Ariansyah,"Semoga Allah memberikan Balasan yang Setimpal, Kakek dan nenek nya terpengaruh Sinetron sehingga di praktekkan langsung ke cucu nya."
Ani Fani,Dimana letak hati nurani nenek luar biasa kejam nya massah Allah semoga Tuhan membalas nya anak itu tidak berdosa anak surga itu
Murni Tayib,Lh tau pelaku nyo nco
Dewi Susanti,Bnam lah lai kakandang situmbin.nak mati.
Susnilawati Tanjuang,Astagfirullah
Vivi Marlina,"Astagfrullah, semoga kkek dan nenek nyo dihukum seberat2nyo,"
Gazel Ananta,Tembak mati lai pak
Refi,"Sudah ku duga,,ada yg aneh."
Excelza,G manusia  binatang itumah
Indah Dika,Kejadian y d mna???
Zakira Talita,Itu bukan manusia melainkan setan jahat hukum seberat 2 nya biar mati dalam bui
Buyung Paris,Di rajam sampai mati lai tu pak
Nopelius Tanjung,Tangkok lah lai pak pol
Nova Tirza,"Denger info, polisi emank udah curiga sama calon tsk, tp kurang 1 bukti lg"
