Username,Komen
Romlahh Yotama,"Lahh bisaan dengan tenang lahirannya, lahh sya rasain sakit sampe teriak gtw knpa sya segitunya pdahal pas udh lahiran mh biasa aja gk sakit"
Luchi Sri Wahyuni,"Alhamdulilah perjuaangan se,orang ibu sunggu luar biasa tuhan."
Safaras Afar,"Bismillah bulan 8,,semoga seht lncar semuanya...aamiin"
Hilda Reni,Sy hamil anak ke 7..hpl akhir Mei...kenapa deg- deg kan ya...gak kayak anak sebelumnya cuek..lahiran normal semua..klu udh kontraksi langsung ke bidan .beberapa jam kemudian lahiran...klu yg sekarang ada rasa was2 nya.
Panggah Nuku,Doktere lanang ajur
Vjest Gaming,"2 bln menuju kelahiraann anak pertama,,  setelah 5 thn penantiannn mohon doa nya ya"
Norkummala Normala,Senangnya....
Mawar Merah,Ank baru satu udh umur 22 thn..pengeeeeenn skli punya ank lagi ..dn sekarang umur sy msuk 42 thn apkh bisa lgi...
Adelia Indah,Kalo liat orang lairan gini aku kok malu ya. Tapi pas aku lairan ga ada malunya
Susanhaadi,Gk laki2 jg dong bidan ny
Triyana,"YaAlloh ikut klr air mata saking terharunya,,"
Bunga Bunga,"Klo ngeliat yg lahiran bgini ,, air mata tiba² ngalir , gak tau knpa .."
Mba Yani,Doa.in y Bun SMG saya dan suamiku scepatnya d kasih momongan....aminn
Yunita Sambriong,Syukur ibu hebat
NE Gesan,Ya allah semoga persalinan aku nanti berjalan dgn lancar
Ketut Sitiariani,"Saya dah 3x ngerasain lahiran normal,semoga nantk di 4x nya juga normal"
Srisulihatun Sulihatun,Alhamdulillah.
Awanz'e Nichen,Alhamdulilah lahiran saya jg sllu normal.lahiran yg ke 2 anak saya kembar alhamdulilah normal lancar...
Elviani Ikhsan,"Saya masih takut tuk lahiran lagi,krn yg pertama uda ngerasain operasi."
Dinda Erlina,Aku lagi hamil 8 bulan semoga lancar bayi normal dan aku sama dd selamat aminn
Lusia Ha We,Amin
Salam Kenal,"Semoga saya di beri kemudahan untuk lahiran normal,, aamin"
Nur Fatehah Nur Fatehah,Perhh sekali ja teran .saya  kalau teran 2.3 kali xlps gi haha .tapi dh sepasang anak . Alhamdulillah ..dh biasa merasa
Julmasni Mom's Lyiora Halawa,Krn saya mau lahiran akhir tahun
Adina Miranda,Jugaaaaa
Desi Ratnasari,jujur ini dri hati sya mending lahiran cs dr pda normal kya nya skit ga tau lah bingung.
Een Nuraenie Skincare,Dokternya laki2 yah
Matahari Nan Indah,Dok saya pasien praktek dokter......bolehkan SC dirujuk daro doktern
Hairul Yana,Klo dokterx cowok gimana ya.liat rambut aja dosa apalagi?hadeh
Made Okta Ariani,"Minus 7,5 gak dibolehin lahiran normal sama dokter"
Gendhis Rengganis,Baru punya anak 1
Nofia Meza,Apa nggak ada dokter perempuan ya? Atau ke bidan aja biasanya di bidan itu perempuan. Bagaimana pun itu aurat
Yuliane Line,"Semangat y Nang,biar cpt sehat lg"
Juju Yulius,Semangat oo...cepat sembuh oo uta
Pins Yunita,"Semangat,sabar and kuat....TUHAN MEMBERKATI,SEMBUHKANLAH KEPONAKKANKU UTA,AMIN."
Ima Siti Shayma Santika,Semangat oo uta..... Sehat ya......
Eliez Rohaeti,Sakit naon ibu uta th
Enni Hawijay,aamiiiin
Putri Ani,"Sy dua kali sc mba kl diruang operasi diajak ngobrol sm dokter dan tim medis jd g tegang tp rasanya kyk ngantuk utk sc pertama pemulihannya agak lama belajar miring setengah mati rasanya g karuan, akhirnya sc kedua konsul dokter minta metode eracs biar…"
Ummu Vanya,"Gak sc doang c,operasi besar jg dulu q gitu,bius setengah badan.Yg gak nahan menggigilnya,dinginnya kyk dikutub,sampe gigi gretek²,sama pasca operasi biusnya naik ke kepala alhasil sakit bgt kepala,bau bius pula.Tp ruangan operasi gak semenakutkan yg o…"
Ningsi Masri,6x aq merasakan dinginnya ruangan itu sprti di fresher....
Myla Ummah SyifaYusuf Fisqy,Sy 3x ngerasain sc . Mdhn sdh yg terakhir hehehe
Huzaipah Lutfhiana,"Baru aja operasi sc tgl 26 maret kemarin.. Anak kedua, sc pertama.."
Evi Puspa Indah,Kalo aku menggigilnya pas setelah oprasi.. pas diruang observasi dibungkus sama slimut listrik. Pdhal dah panas bgt tpq di dlm nya tetap menggigil
Moms Razan,Hadir pernah sc dua x dengan jarak satu taun
Evi Puspa Indah,Q 2x sesar.
Destri Rahmawati,Sc 1x tahun 2016 tgl 3 des
Rosida Dwi Agus Astiyah,Semoga lekas sembuh .. Sakit apa mb..
Gadiezt Berlian,"Kak naura sakit apa,lekas sembuh ya"
Yetty Yetty,semoga lekas sembuh dan sukses operasinya mbak
Isna Kamalia Al Hamzany,Jd inget 2017 dlu husain jg ngalami ini tapi operasinga bersihkan luka bekas kena air panas tpi di ruang operasi jg puasa duh kasian g tega tpi y gmn lg demi
Dwi Astuti,Semoga lekas sembuh ya Naura...
Ika Prihartini,
Kiki Putry Agustin,moga putrinya lekas smbuh dn pulih ya mb..aamiin
Ira Ika Puspitasari,Cepet sembuh yaa naura
Endang Puji Astutik,Smg cepat sembuh
Imro'atus Sholikhah,Naura sakit pa ma..smg segera di beri kesembuhan buat naura..
Wina Luwina,"Semoga operasi amandelnya sukses dan sembuh kembali ya anak cantik Naura, kemaren Angelina juga dr Dokter..amandelnya gede banget, malah gak boleh dokter ostrali di operasi, katanya selagi gak sakit gpp, besok klau angelina sdh besar alias dewasa mengecil sendiri"
Dian Arfah Fibrianti Ririn,"Anakku yg kedua cowok kelas 5 operasi amandel, udah parah sekali, tidur ngorok, akhirnya di angkat,,,,sekarang anaknya sdh mau SMA tahun ini,,,,semoga lekas sembuh ya utk anaknya"
Sri Harnanik,Semoga lekas sembuh dan di lancarkan operasinya ya
Erlina Siswanto,Semoga lekas sembuh aamiin ya rabbal alamin
Yossy Bastian,Cepet sehat LG mbak naura ..  Kiss dr Ghina &Luna
Elli Kusmawati,Smg cepet sehat
Etty Hamdiana,Bismillah cepet sembuh nauraaaaa ...
Luthfil Qodriyah,"Semoga operasi by berjalan dg lancar yah kak,dan bisa segera pulih kembali sehat putrinya"
Yessy Mpp,"Lekas sehat ya Naura ,, syafakillah"
Kandjeng Mami Anita Nova,"Ya Allah say opo""o Naura... Sakit apa say... Smoga lekas sembuh yaa nak sehat sedia kala aamiin"
Nuriya Achmad,Lho sakit apa nak? Semoga lekas sehat.
Fitria Musdalifah,Naura Naura
Dewi Febriana,Moga lekas sembuh kak Naura. Mbak   yang sabar yaa dan jangan lupa jaga kesehatan juga
Kokomkomariah,Sakit ap ma naura semoga cepat sembuh
Rahmah Nuzulur,semoga lekas sembuh nov anaknya
UsaHerdyastuti Gofar,Cepet sembuh ya nak ..
Yanie Mey,Brpa hrga operasi?
Jare Gagah,Aku juga ingin di oprasi metode konvensional/ Bpjs... tapi masih pikir2 untuk oprasi. Soalnya masih ada rasa takut
Ira Al Qorni,Bener juga sih klo blm prnh merskn dioperasi membayangkan aja rasax TDK tidur semalaman
Chayra Hermanto,"Ini cerita, jdi Penyemangat untuk para penderita wasir"
Pardede Putra Sonak Malela,"Saya juga dioperasi, dicover ama bpjs."
Aby Shek Kurana,Msih blom bebas jg klo pola makannya d atur jdi klo k pngen yg lain gak bsa
Lala Lili Lulu,"Bang, kmren op nya sudah stadium brpa?"
ChanTy ADja,"Timbang masang infus Skali brdarah za sgtu Marahnya.. w prnh dirawat gara2 pembuluh darahnya ga kliatan trs infusan mampet. mpe berkali2 pindah tmpt x.. malah pasrah za.. lgian klo emosian bgtu mendingan dirawat dirmh za, ga usah dibawa keRS...."
Dewi Purwati,Ank q di infus smapik 30 kali ja q di suruh plng krn gk bisa di infus q diem aja pdhal keRS lain suruh buat laporan tp q gak mau yg penting anku segera di layani di RS lain dan cepet sembuh
Amanda Thea,"Tp ini bukan masalah tusuk infus gaes, ini pas mau lepas infus. Udah sesuai SOP, selesai cabut langsung di gendong. Lepas kapasnya langsung berdarah."
Mamahe Aldy P,Ujung ujung nya paling kata maaf
Mei Bundana Rafka-rasya,"AQ pernah ngalamin ini,anakku pas usia 4 bulan,totalnya 20 lebih tusukan,sampe2 di Bawak ke ruang bedah buat masang infus,akhirnya bisa,itupun pasangnya dapet di kaki...sedih dan nggak tega sebenernya...tapi Alhamdulillah...sekarang anaknya sehat..."
Juli Ani,"Dimana pun siapa pun pasti ada kesalahan yg namanya pasang infus pasti berdarah kl TDK mauberdarah atau anak kesakitan jangan di bawa ke rumah sakit ,semua kita alami kl kita dirawat di rumah sakit jangan emosi dulu di tegur yg bagus jg emosi anak kita…"
Heryyanto Heryyanto,"kemungkinan perawatnya jutek saat berhadapan dgn keluarga pasien. menjadi emosi terpendam, saat ada masalah baru, emosi pun meledak"
Wahyu Hesti,Masang infus kalo berdarah itu wajar pak..karna kan masang lewat pembuluh...bukan di otot... pakk segitunya arogan banget kelakuannya..
Ratusamantha,"Wajarlh bpkny marah itu perawat klu gk bs mnt yg lainlh yg masang jgn d paksa , gara2 salah psg infus jg bs berakibat fatal, dtg mau berobat malah jd parah y emosilh org tuanya, sy pernah ngalami ky gini"
Vivien Thok,Anakku belum ada setahun berulang x gagal diiinfus. Sampai nangis aku liatnya. Naluriku sebagai seorang ibu g tega liatnya. Tapi aku juga g mukul atau jambak bahkan nyeret perawatnya. Lebih pasrah dan berdoa saja. alhamdullilah sampai sekarang sehat walafiat.
Eko Nug,"Saya mencoba memahami bagaimana kondisi psikologis si bapak baju merah saat anaknya sakit, pasti naluri akan melakukan apa saja demi kesembuhannya,.. walaupun tindaknya sangat berlebihan,..."
Legino Ayahnya Sofi,Saya juga gtu.. pernah di infus di tusuk smpe ber x2 tp bkn berarti mereka perawat tu salah.. mereka juga berusaha emg trkadang ad yg susah cari pena/pembulu darah ny yg sangat kcil hingga nal ny pn hrs yg untuk beby..  mereka jga sllu ingin yg trbaik …
Mami Kezia,"Saya pernah begitu .. anak gagal infus sampe darah kemana2, kesel sih liat nya karna ngak tega liat anak nangis,saran aja jika ada perawat seperti itu tolong ketika infus gagal mohon maaf n diberi penjelasan PD keluarga ,, mungkin bapak itu kesel tapi …"
Alley Damayanti,Manusiawi seorang bapak yg menyayangi anaknya .  stressed sdh pasti kondisi pandemi  Mungkin ada rasa traumatis yg mendalam ......sabarrr sabarrrrrrrrr
Nuzila Elmi,"Lagian itu anak mau pulang, makanya ada prosedur  melepas infus. Kalau bnyak gerak terus kapas plesternya copot pasti keluar darah kalau kondisi bekas infus masih baru, apalagi anak 2 tahun ga bisa diem... Mungkin juga si perawat komunikasi terapeutik …"
Rahmat Hendra,"Gk bisa hanya menyalakan pelaku, memang ada OKNUM Perawat yg sangat menyakitkan hati, apalagi kalo kita berobat pakai BPJS, sering sekali kita sebagai pasien tidak dihargai dan pelayanan nya asal-asalan.."
Marwoto Saputro,"Informasikan ke seluruh rumah sakit supaya keluarga ini gk diterima berobat dirumah sakit manapun ,nggk perlu dilayani"
Diianzt Vanzt Houttent,Nyari jalur pembulu darah ituu susah loh ..bahkan yg di tangan aja  belum tentu ada ..bisa di kaki juga naruh infusnya ..
Hariyanti Agustina,"Teruntuk pak botak klo andai kata eh seumpama kamu menang di hukum kamu terbukti tidak salah, tenang pak botak sangsi sosial cibiran jempol netijen lbih yahuuudd lebih ahhh mantap"
Batubara Hartono,Memasang infus itu tidak semudah meniup sempritan boss.!
Vina Yani,"Tidak manusiawi org seperti ini ,,,Berni y sama prempuan aja ,,,ntr d tuntut klrga si permpuan ,,,Bru blng mnta maaf bnyx lh sgala alasan ,,,,,hjaar balik jgn d kasi ampun ,,,dia tu sok jago ,,,klw dia tu ad di daerah kmi ndx pake"
Endah Wulandari,"Dulu pernah ngalamin kek gitu (nginfus SMP berdarah2 plus sambil canda2 sm temen2nya) padahal sy udh nangis2 krn ga tega liat anak sy, mo marah dah gada tenaga, berusaha sabar, tapi beda lagi cerita nya klo ketemu kluarga pasien yg gasabar salah2 yg ada kena jambak."
Abednego,Ya ..mngkin bapaknya ksih syangnya luar biasa..tpi klau bsa di rawat sendiri Pak jgan di bawah ke rmah sakit...
Della Delvira,INFONYA SALAH! YG BENER INI PERAWAT MAU MENCOPOT INFUSNYA KARNA MAU PULANG TAPI KARNA ANAKNYA GABISA DIEM PAS UDAH DICOPOT PLESTERNYA LEPAS DARAHNYA KELUAR DAN SI EMAKNYA SHOK SAMPE LAPOR SUAMINYA. BACA DI LAMBE TURAH
Rya Zafitri,"Sakit gk sakitnya juga bisa tergantung dari siapa yang psang infus klo kurang ahli atau pengalaman rasanya sakit , prnah dirawat waktu ditempat 1 rasa nya luar biasa seperti didorong2 alhasil gk bnr tangan bengkak trs pas dirujuk ke tempat ke 2 pindah …"
Erny Ghea,"Tendang aja telor nya.gak ada otak laki laki kok kasar,ngaku ngaku polisi lagi.emang kenapa kalo lu,polisi itu tuhan kah yg harus di sembah"
Faisal Ramadhan,"Bruhh, pasang infus pasien anak gk segampang dewasa yang bisa di kasih tau, bisa koperatif. Lah anak2 mana bisa."
Candra William,"Ane pernah dapet pengalaman ketika tiang infus bokap yang lagi dalam kondisi antara hidup dan meninggal ga sengaja jatoh ke ketarik sama perawat. Rasanya spontan kesel sampe ke ubun ubun, mau nampol dll. Tapi untung nya masih bisa nahan, karena ga mau …"
Suratman Hamid,"intinya tetap bpk ini salah, namany jg menganiaya org adl kejahatan, seharusny tdk dgn cara sprti itu klw ada kesalahan dri pihak oknum petugas RS, proses hukum sj biar adil"
Sovhia Prinensi,Sy juga pernah opname gr2 muntaber terus diinfus.. sudah lihat susahnya bagaimana masang jarum trus sempat sampe bengkak/ngilu gitu (entah masangnya terlalu dalam atau gimana sy ga tau karna sy awam ttp pengetahuan medis) jd diam aja namanya sy sakit p…
Puryanto Masteng,"Si botak marah pasti ada penyebabnya, kesalahannya dia sampai melakukan tindakan penganiayaan pada perawat tersebut."
ErnaWati Ma'e Setiyarahma,Nunggu video klarifikasi seperti yg sudah sudah cuma dengan kata MAAF
Micha Lumban Toruan,"Saya pernah ngalamin kasus seperti ini, entah perawat yg susah nyari pembuluh darah anak saya (umur 2 tahun) sampai berkali kali dari tangan kanan sampai tangan kiri , terakhir jadi dikaki pasang infus  berdarah pula, saya komplen tpi gak jambak² peraw…"
Endang Burhanudin,Anak saya juga baru ngalamin.kemaren tapi aku biasa biasa aja.sampe harus dirujuk.tapi aku pasrahkan kepada allah alhamdulilah anak aku udah suruh pulang amiin .penyakitnya lngsung di angkat.terimakasih kepada suster yg telah merewat anak hamba
Lulu Mar'El,"Anak saya pernah waktu mau di infus....  Krn udah sehari semalam di igd. Dan baru sampe di RS rujukan Jadi blm sempet di gantiin baju....  Di lepas paksa sama perawat ""sambil bilang...  Amis nian anaknyo buk"""
Benni,"Bs trauma mbk ini dalam bekerja kedepannya,ini harus ada dampinggan buat mental psikologis mbk ini,, dr rumah sakit,, karena beliau bekerja sampai dijambak ama di tarik seperti itu,,klu resiko pekerjaan, setiap pekerjaan pasti ada,klu seperti ini sdh BERLEBIHAN"
Adhitya Firandra Putra,"Masang infus ke pasien anak itu gak segampang masang infus ke pasien yang dewasa, musti feeling yang kuat.. Gak segampang itu pak lu bilang, usut tuntas nih.. Ngerendahin martabat keperawatan, ksihan teman sejawat di kek gituin"
Iyan Fian,"Sebagai pengalaman aja,,,kalo posisi anak udh dehidrasi yg namanya perawat mana aja pasti bakal susah masang infus nya.dulu pas belum tau emang agak kesel,tapi setelah kita cari tau ternyata memang kondisinya kek gitu susah."
Anggrey Pandanarum,"Lain kali klw sakit, pasang sendiri pak infusnya.."
Fransiska Rina,bawa kedukun aja pak gak pake jarum infus....ada hbs bapak marahin dukunnya bapak di santet
Ayu Si Nyonya Febrie,"Serem bgt tu org...  marah krn anak luka sih boleh,, wajar,, tp klo marah nya sampek kyk gtu gag wajar.. Itu suster jg anak org,, klo mak nya gag Terima bisa panjang kn urusannya"
Shin Ta,sejak kapan masang infus gak keluar darah;)
Kus Nan,"Sy yg sdh tua saja sampai ditusuk jarum 5x baru ketemu jalur darahnya.apalagi anak kecil yg blm bisa kita ajak bicara.kita hrs bersbr dgn keadaan ini.utk bpk yg lg emosi sy maklumi,,,toh semua akan berlalu.bpk yg lg emosi itu,,,sy yakin akan menyesal s…"
Catur April Hantoro,"gak bisa hanya dari video ini, sebelum dan sesudah video juga harus dijelaskan baru yang salah harus diberi sanksi.. dari video terlihat sang bapak bertopi sangat arogan, tpi apa sebabnya harus diklarifikasi,jangan2 dia mendapat hal yang tidak semestin…"
Faida Faida,Ini juga bs buat pelajaran para suster YG Masih dlm tahap pembelajaran untuk bener2 klo mau masang infus . Sebab klo cuma Di cucuki Sakit. JD orng tuanya jg merasakan Sakit. Sabar juga untuk ortunya walaupun Sakit Dan Minta Aja suster YG sudah senior u…
Supri Yanto,"Lapor polisi, tindakan penganiayaan, ini negara hukum siapapun yg salah hrs d tindak, jgn ada kata damai biar ada afek jera"
Berkah Permata,"Hmmm...reaksi si bapak berlebihan pak, namanya anak kecil jgnkan disuntik, diperiksa aja sdh nangis teriak2, anak saya pernah kejadian tertusuk jarum suntik dua kali, lantaran meronta saat mau di suntik, alhasil jarum tersebut sampai bengkok, dan itu j…"
Juwardin,Bapa kalau anak nya ngak mau di infus ngak usa bawa rumah  sakit deh...
Den Agus,Ealah.. jenenge di infus iku di jojo dom bosku..
Samsul Kfa,tunggu episode selanjutnya dalam judul minta MAAF..
Upit Suryani,Biasanya yg berdarah ketika psg infus itu kesalahan ada di tbh pasien. Jd tdk mutlak kesalahan perawat nya. Hrs bijak jg melihat permasalahan nya..
Butir Ajjh,Security-nya lupa tugasny gara liat yg gede badan
Ayda,"Anak saya umur dua tahun pernah terkena dehidrasi parah, diurus 4 perawat yang berusaha mencari jalur darah untuk infus, ke 4 perawat tersebut masing² mencari ditangan kiri dan tangan kanan serta kaki kiri dan kaki kanan, lama sekali entah sudah berapa…"
Saeful,"Dulu juga anak saya wakt usia 1thn, si perawat ny buka infusan malah sampai ke gunting dan berdarah. Tp msh hal wajar lah. Perawat juga manusia."
Ade Supendi,Kalau ga percaya sama perawat jangan di bawa kerumah sakit obati aja sendiri pa perawat berusaha menolong kalau. Ada kesalahan jangan emosi begitu pa kalau udah di usut orang seperti bp paling jawabnya minta maap
Na Cha,Dulu anakku msh kecil trs sm suster di suntik dgn rasa takutnya anakku si suster langsung aja maen suntik anakku akhirnya anakku py trauma klu ketemu suster2..tp kita orang bego ya sdh lah..tp sempet sih aq mengucap dlm hati knp sm anak kecil cara nang…
Eny Wiandani,"Keinget 8 thn yg lalu, gara"" G bsa diinfus ditangan kanan & kiri jd mau diinfus dikaki, pas mau disuntik kekaki langsung dong ya kta sepakin perawatnya , dan akhirnya perawatnya ngalah ngelihat pasiennya nangis ketakutan disuntik dikaki , perawat…"
Azmi Adatihara,"Segitunya sih pak,g stiap org pembuluh darah nya d Cari dgn gmpg,kdang hrus  d tsuk ber x x Dan pindah"", Dan sring x Naik Klo d pke buat gerak, bhksn q dlu buat pipis aja darah Naik bwah botol infus."
Bunarto,"Suruh pasang sendiri saja infusnya, dasar bpk arogan, dipikir gampang pasang infus anak balita. Hampir setiap balita sulit dipasang infus, jd tolong dimaklumi suster tsb. Sy yakin dia tak bermaksud untuk mencelakai si balita. Seharusnya si bpk bs menge…"
Imam Jajuli,"Istri saya pas mau lahiran ampe bengkak dan pindah tangan bagi saya gak ada masalah selagi tetap berusaha demi pasien ,"
Raja Tobing,"Memang dilema, tidak semua perawat  mahir memakaikan infus. Apalagi kalo vena pasien tidak terlihat. Maka pihak rs harus siapa tenaga medis yg trampil."
Didi Herdian,"Kesel bolleh, tapi jangan pelampiasan emosi seperti binat*ng (apalagi yg dilawan perempuan)"
Fii Dhi,"Anak umur 2 tahun sgitu memang aktif"" Nya , sama kayak anak ku umur 2 tahun kmrin juga masuk opname, karna sring di buat gerak tangan jadi bengkak, darahnya juga agak kluar jadi menyumbat jalan cairan infus nya, namanya juga anak kecil pasti ya nangis …"
Tak Ada Nama,Biasanya org tua susah bget tuk cari urat yg mau di pasang infus.. Pasienku sampe berulang kali suntik gagal sekali bisa blm genap 4 jam udah bengkak terpaksa copot Dan cari lg. Kurang sabar za anak pasien
Vie Vie,Bnyk yg masih blajar malapraktek.. Emg gk sakit apa dtusuk2 pke jarum.. Saya sempet kesel.. Bisa gk sih sus ksian ibu saya darahny udh bnyk gk bisa2.. Giliran datg yg satunya lgsg bisa.. Duh aplg ank kecil mna tega liatnya.. Jambak aj bu sya klo dposis…
Gunawan Kong,Satpam kurang sigap itu korban udah di Jambak cuma diliatin malahan sempat mundur..mohon pihak manajemen atau biro yg berkaitan evaluasi kinerja satpam yg bersangkutan mengenai tugas utama seorang penjaga keamanan...kasian korban
Antonia Dwi Suryanti,Duh pak arogan sekali pak...seharusnya bs d bicarakan baik2...perwat masang ato melepas infus it sdh ad SOP nya.
Nyeqick Qicko,Apapun itu terlepas ntah crta awal jg bagaimana hingga akhirnya sprti di video.
Sulis Tyo,"Aq juga pernah anaku pas sakit sudah sakit dicublas cubles jarum nggak bisa2 akhire aq marah2 terus nggak jadi dinifus lanhsung keruangan,e sorenya didatangi kepala perawat mau pasang infus dia jamin langsung bisa benar juga di tangani perawat asli sek…"
Dwi Ismi,"Tidak semua tpi ada sebagian sllu aja ada perawatan yg junior, yg kurang paham, yg seniornya kdang sambil ngobrol, kita orang tua betul"" Memperhatikan tu jarum nyucuk ketangan buah hati yg kecil, anak kecil lho, klo anak Bpk itu sdah dewasa, gx mungkin…"
Siti Nur Bariyah,Duh itu kan tergantung pasien nya kadang emang agak susah nyari yg buat d infus saya aja sering bgtu dan kadang smpe pindah beberapa x
Fransiska Rina,bapaknya kaku amat. waktu anaknya sy opaname jg gtu anaknya terllau gendut dan gak bs diam makanya jarumnya suka lepas.tp sy gk panik krn emang anak sy gak bs diam...
Abdul Sukur,"Kl mau suruh pasang sendiri tu infus, hargai profesi org lain...pake otak pak, jgn emosi yg km bawa kemana...NOL"
Keisha Cia,"Lha klo emg pembuluh darah korbang kecil emg sulit,,, klrga saya tergolong punya pembuluh drah kecil,,, jd tiap kali mau di infus rata2 lebih dr 3x bahkan pernah sampai 8x ,,, bukan dr dokternya yg gg pengalaman,, emang dr pembuluh drah pasien yg kecil…"
Marpuah Puah,"Kasar amat pak sama perempuan, anak sy pernah di pasang inpus salah, tgn nya sampe melendung air impusan gak masuk ke urat nya,tapi suami sy tegur nya gak pake marah,"
Edi Kusnadi,Pernaha Anak saya di infus ampe gagal beberapa  kali..
Yoga Irawan,"Jika ini benar terjadi seperti yg di ceritakan , Lbh bagus pasien buaT RS Sendiri , Perawat , Dr juga manusia."
Dian Dili Trisnowati,saya saja yg sdh tua..dcari pembuluh darahny sampe 4 kali g ketemu.sampai2 perwatny keluar keringet..sesekali blg maaf.susah banget.ktny MBlembut banget pembuluh darahnya.akhirny bisa ketemu dcari pake jarum untuk anak kecil..
Rahadian Lucky Ashshidiq,"Kadang pihak rumasakit juga managemen SDMnya kurang diperhatikan. Anak saya aja panas kejang cuma dikasih obag kejangnya aja tanpa penurun panasnya, yaiyalah akhirnya harus rawat inap gegara panasnya gak turun turun. Setelah dipelajari bangke itu oknum…"
Septian Syihab,Kalian tau gak betapa sulitnya memasang jarum infus terutama ke anak2 .. kalo orng dewasa sih gampang pembuluh darah nya keliatan .anak2 kadang sulit nemuin nya . Kalo memamng perawat nya salah gak perlu lah arogan kaya gitu bisa di bicarakan baik baik…
Febrian Dio,Sebagai orang Palembang gua malu banget lihat kelakuan bapak  kayak ga ada cara lain aja buat nyelesaiin masalah nya
Ana Maria Srisunarmi,Suamiku waktu mau d katerusasi jantung d pasang infus sampe 7 c baru bisa n sempat emosi karena sakit tp engga sampe begitu deh
Septia Septia,"Mangkannya ya kl d R**l  pas lagi anak sakit selalu orang tuax g boleh ikut masuk waktu pasang infus, takut gak tega, karena g semudah pasang infus k orang dewasa, kl anak kecil tu lembut banget ,jadi cari pembuluh nya susah, aq dah pengalaman anak sak…"
Eno Tris Sut,"Anak sy prnh sakit di rawat, swktu suntik infus, gk ada darahnya, akhirnya suntiknya pindah lagi di lokasi lain, tpi gak ada darahnya juga,  mau gk mau pindah lgi, sampe 3 kali suntikan , baru ada darahnya, , kasihan mana masih umur 3 tahun,  dalam hat…"
M Yusuf Arifin,bapaknya itu kok sok jago beraninya ama perempuan biarkan aja tu anaknya ndak usah di urus biar di obati sendiri ama bapaknya . anak ku di tubles sampe 3- 5 kali tp saya ndak segitu bngt dasar
